nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire
office municipal d'habitation de montréal - résidences enharmonie - résidence saint-eugène,"3500, rue Beaubien Est Rosemont—La Petite-Patrie Montréal QC H1X 1G7","Logements abordables: 1½, 3½ ou 4½. Inclus dans le loyer: 5 repas chauds par semaine à la salle à manger, 2 déjeuners les fins de semaine, surveillance 24 heures,",514 376-7373,info.se@omhm.qc.ca,www.residencesenharmonie.qc.ca/residences/residence-saint-eugene,le Québec,personnes de 60 ans et plus à faible revenu (inférieur à 40 000 $ pour une personne ou un couple et à 46 000 $ pour deux personnes ne vivant pas en couple),provincial
action main-d'oeuvre,"3320, boulevard Rosemont Rosemont—La Petite-Patrie Montréal QC H1X 1K3","Consultation individuel et développement de l'employabilité. Aide à la recherche d'emploi. Préparation aux entrevues, présentation aux employeur·euse·s, si requis, et adaptation de l'environnement de ...",514 721-4941,info@actionmaindoeuvre.ca,www.actionmaindoeuvre.ca,île de Montréal,personnes de 16 ans et plus autistes sans déficience intellectuelle ou vivant avec une déficience intellectuelle légère,montreal
gamblers anonymes,Montréal QC,Groupes d'entraide auprès des joueurs compulsifs. Ligne téléphonique d'information sur les rencontres. Liste des réunions sur le site web.,514 484-6666,info@gaquebec.org,gaquebec.org,le Québec,personnes vivant avec un problème de jeu compulsif,provincial
entraide ukrainienne de montréal,"3300, boulevard Rosemont, bureau 210 Rosemont—La Petite-Patrie Montréal QC H1X 1K2",Organisme de maintien des personnes aînées dans la communauté. Informations et références. Traduction et aide pour remplir des documents. Jumelage avec des personnes âgées: visites lors de célébration...,514 729-9540,entraid1@bellnet.ca,,Ile de Montréal,personnes aînées d'origine ukrainienne,montreal
association d'aide et de loisirs pour personnes à autonomie réduite,"5350, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X2","Activités sociales, récréatives, culturelles et sportives. Formation: vieillissement et gérontologie. Programme de rapprochement interculturel. Groupes de soutien et d'entraide. Appels",514 524-7328,direction@alpar.ca,alpar.ca,Grand Montréal,"personnes aînées de 55 ans et plus ayant des limites physiques en raison de l'âge, la maladie ou un handicap, leurs proches aidants",grand_montreal
projet inclusion,"5350, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X2","Projets conçus pour réduire et prévenir les problèmes de santé mentale au sein de la communauté. Espaces inclusifs, accueillants, dédiés à la création et interaction entre citoyen·ne·s: ateliers d'art...",514 255-1054,info@pceim.ca,pceim.ca,île de Montréal,"personnes confrontées à un manque extrême de réponses sociales à leurs besoins fondamentaux d'appartenance, de participation et de compréhension",montreal
corpuscule danse,"5350, rue Lafond Rosemont—La Petite-Patrie Montréal QC H1X 2X2","Recherche, création et diffusion de spectacles de danse inclusive. Cours et ateliers de danse inclusive pour personnes avec ou sans handicap, visible ou invisible.",,infos@corpusculedanse.com,corpusculedanse.com,île de Montréal,"personnes à mobilité réduite, personnes avec une déficience intellectuelle légère à moyenne",montreal
collectif - employabilité,"4155, rue Bélanger Est Villeray—Saint-Michel—Parc-Extension Montréal QC H1T 1A2",Accompagnement et accueil des nouveaux arrivants. Service d'aide à l'emploi: centre cyberemploi et formations. Emplois hors de Montréal pour personnes immigrantes: www.emploisenregions.ca/emploi-immig...,514 374-7999,emploi@cfiq.ca,www.cfiq.ca,le Québec,personnes immigrantes,provincial
centre d'aide nouveau départ,"4506, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1T 1B6",Lutte contre la pauvreté et briser l'isolement des personnes défavorisées. Dépannage alimentaire incluant de la viande. Paniers de Noël.,,conseillant576@gmail.com,,île de Montréal,personnes à faible revenu,montreal
espace pour la vie - insectarium,"4581, rue Sherbrooke Est Rosemont—La Petite-Patrie Montréal QC H1X 2B2",Musée consacré aux insectes. Expositions permanentes et itinérantes. Protection de la biodiversité.,1 855 518-4506,espacepourlavie@ville.montreal.qc.ca,espacepourlavie.ca/insectarium,le Québec,,provincial
tribunal administratif du logement - montréal - rue beaubien est,"4994, rue Beaubien Est, bureau 300 Rosemont—La Petite-Patrie Montréal QC H1T 1V4",Tribunal spécialisé en matière de bail résidentiel. Information sur les droits et obligations découlant du bail. Conciliation des relations entre propriétaires et locataires. Protection de,514 873-2245,,www.tal.gouv.qc.ca,île de Montréal,"locataires, propriétaires",montreal
fondation des aveugles du québec,"5112, rue de Bellechasse Rosemont—La Petite-Patrie Montréal QC H1T 2A4",Activités visant à améliorer la qualité de vie des personnes aveugles. Volet jeunesse: activités sportives et récréatives. Volet habitation: gestion de cinq complexes d'habitation pour personnes aveug...,1 855 249-5112,info@aveugles.org,fondationdesaveugles.org,le Québec,personnes aveugles,provincial
bon pilote (le),"5112, rue de Bellechasse Rosemont—La Petite-Patrie Montréal QC H1T 2A4",Amélioration des conditions de vie des personnes vivant avec une déficience visuelle ou en perte de mobilité. Service de guide et d'accompagnement sans voiture. Appels de soutien et visites d'amitié. ...,514 593-5454,info@lebonpilote.org,lebonpilote.org,"Boucherville, Brossard, Longueuil, Saint-Lambert, Beloeil, Saint-Bruno-de-Montarville, île de Montréal","personnes vivant avec une déficience visuelle, personnes aînées à mobilité réduite",grand_montreal
habitations de la fondation des aveugles du québec,"5112, rue de Bellechasse Rosemont—La Petite-Patrie Montréal QC H1T 2A4","Gestion de 5 complexes d'habitation adaptés pour les personnes ayant une déficience visuelle. Résidence Habitoeil Montréal: 2805, rue Aubry, Mercier-Hochelaga-Maisonneuve, Montréal. Habitations Habito...",514 259-9470 poste 225,info@habitationfaq.org,habitationsfaq.org,le Québec,personnes aveugles et semi-voyantes à faible et modeste revenu selon les critères énumérés sur le site Web,provincial
espace pour la vie - jardin botanique,"4101, rue Sherbrooke Est Rosemont—La Petite-Patrie Montréal QC H1X 2B2","Centre éducatif, culturel et scientifique. Jardins extérieurs, grande serre et serres d'exposition. Événements, expositions, animations, visites guidées.",1 855 518-4506,espacepourlavie@ville.montreal.qc.ca,espacepourlavie.ca/jardin-botanique,le Québec,,provincial
villa exprès pour toi,"4655, rue Euclide-Brien, bureau 1 Rosemont—La Petite-Patrie Montréal QC H1X 3K4",Logements sociaux avec activités communautaires. Activités sociocommunautaires. Aide alimentaire pour personnes résidentes. Paniers de Noël pour personnes résidentes.,,ca.vept.4655@gmail.com,,île de Montréal,"personnes seules de 18 ans et plus, autonomes, en situation économique précaire, à risque d'itinérance",montreal
trajet inc. - service de médiation et d'accompagnement à la résolution de conflits,"3566, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1X 1A7","Service de médiation et d'accompagnement à la résolution de conflits. Problèmes liés au bruit. Problèmes liés la propriété (clôture, haies, neige, rénovation) pour les l",514 521-2000 poste 245,info@trajetoja.org,trajetoja.org,île de Montréal,"adultes, adolescent·e·s, personnes âgées",montreal
clinique pour la justice migrante,"3600, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1X 1B1","Clinique juridique communautaire défendant les droits civils, politiques et socioéconomiques des personnes migrantes à statut précaire. Services juridiques holitiques, vulgarisation et information jur...",514 523-6666,info@cjm-mjc.org,cliniquejusticemigrante.org/fr,le Québec,"personnes migrantes à statut précaire, personnes oeuvrant auprès des personnes migrantes",provincial
comité des usagers de l'hôpital santa cabrini ospedale,"5655, rue St-Zotique Est Rosemont—La Petite-Patrie Montréal QC H1T 1P7",Comité des personnes usagères. Renseignements sur les droits et les obligations. Défense des droits et intérêts. Accompagnement dans les démarches pour porter plainte.,514 252-6000 poste 7198,comitedesusagers.santc@ssss.gouv.qc.ca,ciusss-estmtl.gouv.qc.ca/propos/comite-des-usagers-et-des-residents/comite-des-usagers-hopital-santa-cabrini,île de Montréal,personnes usagères de l'Hôpital Santa Cabrini,montreal
hôpital santa cabrini ospedale,"5655, rue Saint-Zotique Est Rosemont—La Petite-Patrie Montréal QC H1T 1P7",Centre hospitalier de soins généraux et spécialisés. Médecine générale et médecine interne. Chirurgie. Gynécologie. Centre d'accueil Dante: hébergement et soins de longue durée et centre de jour. Dési...,514 252-6000,,ciusss-estmtl.gouv.qc.ca/etablissement/hopital-santa-cabrini-ospedale,le Québec,,provincial
buffets insère-jeunes,"5188, rue Beaubien Est Rosemont—La Petite-Patrie Montréal QC H1T 1W1","Entreprise d'insertion sociale et professionnelle. Formation BIS: expérience de travail rémunérée de 6 mois en cuisine, formation technique comme aide-cuisinier ou aide-pâtissier, suivi individuel, at...",514 593-7705,formation@traiteurbis.qc.ca,traiteurbis.qc.ca,île de Montréal,"personnes de 16 ans et plus, service de traiteur: grand public",montreal
habitations universellement accessibles (les),"3250, boulevard Saint-Joseph Est Rosemont—La Petite-Patrie Montréal QC H2S 3L5",Logements adaptés pour personne à mobilité réduite.,514 522-3190,info@shapem.org,www.shapem.org,île de Montréal,"familles, personnes seules, personnes avec limitations fonctionnelles, personnes aînées autonomes à faible revenu",montreal
regroupement pour la trisomie 21,"3250, boulevard Saint-Joseph Est, bureau 1-A Rosemont—La Petite-Patrie Montréal QC H1Y 3G2",Accompagnement et entraide. Stimulation précoce. Programme de jour. Loisirs. Activités socioculturelles. Défense des droits. Conférences.,514 850-0666,info@trisomie.qc.ca,trisomie.qc.ca,Grand Montréal,"personnes vivant avec la trisomie 21, leurs parents, programme de jour: personnes vivant avec la trisomie 21 de plus de 21 ans",grand_montreal
service d'hébergement st-denis,"6791, boulevard Saint-Michel Rosemont—La Petite-Patrie Montréal QC H1Y 2G4","Hébergement de 3 à 6 mois de type chambres et pension. Intervention individuelle et de groupe: soutien dans la compréhension de sa situation et l'identification de solutions, recherche d'autonomie (bu...",514 374-6673,heberg.stdenis@oricom.ca,hebergementstdenis.com,Grand Montréal,personnes de 15 à 20 ans en difficulté,grand_montreal
institut de cardiologie de montréal,"5000, rue Bélanger Rosemont—La Petite-Patrie Montréal QC H1T 1C8","Centre hospitalier spécialisé en cardiologie: soins, recherche, enseignement, prévention, réadaptation, évaluation des nouvelles technologies.",514 376-3330,,www.icm-mhi.org,le Québec,patient·e·s avec problèmes cardiovasculaires,provincial
urgences-santé,Montréal QC,"Coordination des soins préhospitaliers d'urgence, réception et réponse aux appels urgents, dispensation de soins de stabilisation, transport ambulancier et interétablissement, intervention médicale d'...",911,info@urgences-sante.qc.ca,www.urgences-sante.qc.ca,le Québec,,provincial
alcooliques anonymes - région 87,"3920, rue Rachel Est Rosemont—La Petite-Patrie Montréal QC H1X 1Z3","Soutien téléphonique. Groupes d'entraide hebdomadaires, auto-animés ou animés par un membre. Liste des réunions en ligne: meetings.aa87.org/meetings Certains réunions disponibles pour personnes malent...",1 866 544-6322,aide@aa87.org,www.aa87.org,"île de Montréal, Montérégie",personnes de tous âges ayant un problème de consommation ou de dépendance à l'alcool,montreal
alcooliques anonymes,"3920, rue Rachel Est Rosemont—La Petite-Patrie Montréal QC H1X 1Z3","Soutien téléphonique. Groupes d'entraide hebdomadaires, auto-animés ou animés par un membre. Liste des réunions en ligne: m.aa87.org/meetings Réunions disponibles avec interprète LSQ pour personnes ma...",1 866 544-6322,aide@aa87.org,www.aa87.org,"île de Montréal, Montérégie",personnes de tous âges ayant un problème de consommation ou de dépendance à l'alcool,montreal
oasis des enfants de rosemont (l'),"2555, rue Holt Rosemont—La Petite-Patrie Montréal QC H1Y 1N4","Lieu d'accueil, d'écoute et d'accompagnement pour les enfants de 0 à 12 ans et leur famille. Maison des enfants: accueil gratuit tous les jours après l'école pour les enfants de 5 à 12 ans. Activités ...",514 374-9111,info@oasisdesenfants.com,www.oasisdesenfants.com,"Aide alimentaire, paniers de Noël, fournitures scolaires: codes postaux commençant par H1X, H1Y, H1T, H1W, H1S","enfants de 0 à 12 ans et leur famille, halte-garderie: enfants de 0 à 5 ans, familles avec enfants",provincial
régie des installations olympiques,"4545, avenue Pierre-De Coubertin Mercier—Hochelaga-Maisonneuve Montréal QC H1V 0B2","Gestion des installations du Parc olympique de Montréal, dont la Tour de Montréal, le Stade olympique, le Centre sportif, les terrains et les aires extérieures. Activités touristiques, sportives, cult...",514 252-4141,po@parcolympique.ca,parcolympique.qc.ca,le Québec,,provincial
montréal - direction de la sécurité civile,"5100, rue Sherbrooke Est, RC-23 Mercier—Hochelaga-Maisonneuve Montréal QC H1V 3R9",Prévention des sinistres majeurs et préparation de l'intervention. Supervision de l'état de préparation des arrondissements et des services centraux de la ville en rapport avec les risques majeurs. So...,311,securite.civile0613@msp.gouv.qc.ca,ville.montreal.qc.ca/csc,île de Montréal,,montreal
montréal - direction de la sécurité civile,"5100, rue Sherbrooke Est, RC-23 Mercier—Hochelaga-Maisonneuve Montréal QC H1V 3R9",Prévention des sinistres majeurs et préparation de l'intervention. Supervision de l'état de préparation des arrondissements et des services centraux de la ville en rapport avec les risques majeurs. So...,311,securite.civile0613@msp.gouv.qc.ca,ville.montreal.qc.ca/csc,île de Montréal,,montreal
fédération québécoise de l'autisme,"3396, rue Jean-Talon Est Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 1W8",Information et référence. Soutien aux membres. Formation. Centre de documentation. Défense des droits et représentation.,1 888 830-2833,direction@autisme.qc.ca,www.autisme.qc.ca,le Québec,"personnes autistes, organismes, familles, proches",provincial
hôpital maisonneuve-rosemont,"5415, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 2M4","Centre hospitalier de soins généraux et spécialisés. Urgence. Médecine générale, interne et pédiatrique. Médecine spécialisée: cardiologie, endocrinologie, pneumologie, soins intensifs, etc. Obstétriq...",514 252-3400,,ciusss-estmtl.gouv.qc.ca/etablissement/hopital-maisonneuve-rosemont,le Québec,,provincial
phare enfants et familles (le),"2725, avenue du Mont-Royal Est Rosemont—La Petite-Patrie Montréal QC H1Y 0A1",Maison de soins palliatifs pédiatriques.Hébergement Séjours de répit. Séjours de transition après un épisode de soins aigus à l'hôpital. Séjours de gestion de symptômes: alternative à l'hospitalisatio...,514 787-8801,info@phare-lighthouse.com,phare-lighthouse.com,le Québec,familles d'un·e enfant ayant une maladie à issue potentiellement fatale qui nécessite des soins complexes et qui répondent aux critères de soins palliatifs pédiatriques du Québec,provincial
regroupement partage,"5789, rue D'Iberville Rosemont—La Petite-Patrie Montréal QC H2G 2B8","Regroupement et soutien des concertations locales qui organisent l'Opération Sac à dos. Sensibilisation de la population sur les enjeux liés à la pauvreté, à l'insécurité alimentaire et à leurs impact...",514 383-2460,info@regroupementpartage.org,regroupementpartage.ca,île de Montréal,"groupes communautaires, personnes à faible revenu",montreal
centre pierre-charbonneau,"3000, rue Viau Mercier—Hochelaga-Maisonneuve Montréal QC H1V 3J3","Centre culturel, de loisirs et de sports. Activités sportives, culturelles et récréatives. Salle de musculation et piste de course. Les Kangourous: camp de jour estival. Événements sportifs, artistiqu...",514 255-4222,info@centrepierrecharbonneau.com,www.centrepierrecharbonneau.com,île de Montréal,grand public,montreal
tribunal administratif du logement - montréal - village olympique,"5199, rue Sherbrooke Est, bureau 2095 Rosemont—La Petite-Patrie Montréal QC H1T 3X1",Tribunal spécialisé en matière de bail résidentiel. Information sur les droits et obligations découlant du bail. Conciliation des relations entre propriétaires et locataires. Protection d,514 873-2245,,www.tal.gouv.qc.ca,le Québec,"locataires, propriétaires",provincial
"ministère de l'environnement, de la lutte contre les changements climatiques, de la faune et des parcs","5199, rue Sherbrooke Est, bureau 3860 Rosemont—La Petite-Patrie Montréal QC H1T 3X9","Protection de l'environnement, préservation de la biodiversité et lutte contre les changements climatiques. Délivrance des autorisations environnement",1 800 561-1616,,www.environnement.gouv.qc.ca,le Québec,"citoyen·ne·s, groupes, organismes, laboratoires, entreprises",provincial
revenu québec - montréal est,"5199, rue Sherbrooke Est, pyramide Est, bureau 4000 Rosemont—La Petite-Patrie Montréal QC H1T 3X3","Administration du régime fiscal québécois par la perception des impôts et des taxes. Administration de programmes et services relatifs au revenu: crédits d'impôt, allocation-logement, prime au travail...",1 800 267-6299,,www.revenuquebec.ca/fr,le Québec,,provincial
office de la protection du consommateur,"5199, rue Sherbrooke Est, aile A, bureau 3671 Rosemont—La Petite-Patrie Montréal QC H1T 3X2","Responsable de l'application de quatre lois: Loi sur la protection du consommateur, Loi sur les agents de voyages, Loi sur le recouvrement de certaines créances, Loi sur les arrangements préalables de...",1 888 672-2556,,www.opc.gouv.qc.ca,le Québec,consommateur·ice·s et acteur·ice·s du marché de la consommation,provincial
association québécoise des laryngectomisés,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9","Information par téléphone, en ligne ou en personne. Visites aux futur·e·s opéré·e·s dans les hôpitaux. Entraide et rencontres sociales. Documentation. Colloques.",1 844 285-2335,info@aqlar.org,aqlar.org,le Québec,"personnes laryngectomisées, leurs proches, professionnel·le·s de la santé",provincial
maison jacques-cantin,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9","Hébergement pour personnes recevant des traitements pour le cancer à Montréal. Transport vers les centres de traitement. Repas et collations, activités récréatives, prothèses capillaires et mammaires,...",1 888 939-3333,maison@cancer.ca,cancer.ca/fr,le Québec,"personnes atteintes de cancer, leurs accompagnateur·rice·s",provincial
société canadienne du cancer - division du québec,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9",Information et référence. Communauté virtuelle: www.parlonscancer.ca Répertoire de services à la communauté: csl.cancer.ca/fr Aide à la cessation tabagique. Prêt de prothèses capillaires et don de pro...,1 888 939-3333,info@sic.cancer.ca,cancer.ca/fr,le Québec,"personnes atteintes de cancer et leurs proches, proches aidant·e·s, grand public, professionnel·le·s de la santé",provincial
trottibus,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9",Autobus pédestre permettant aux élèves du primaire de se rendre de la maison à l'école à pied. Programme offert à tous parents désirant s'impliquer et initier le projet. Disponible pour l'ensemble des...,1 888 939-3333,trottibus@cancer.ca,trottibus.ca,le Québec,"parents d'enfants fréquentant une école primaire, écoles primaires",provincial
ligne j'arrête,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9",Ligne d'aide téléphonique pour cesser de fumer ou vapoter. Information et référence. Soutien par téléphone et aide en ligne. Appels de suivi sur un an. Documentation. Références. Liste des Centres d'a...,1 866 527-7383,,www.quebecsanstabac.ca/jarrete,le Québec,"toute personne désireuse d'arrêter de fumer ou vapoter, leurs proches, professionnels de la santé",provincial
collège de maisonneuve - éducation 3e âge,"3800, rue Sherbrooke Est, local D-2607 Mercier—Hochelaga-Maisonneuve Montréal QC H1X 2A2","Regroupement de personnes retraitées et préretraitées. Sorties culturelles. Club de marche. Conférences. Cafés-rencontres, visites guidées, réunions et fêtes.",514 254-7131 poste 4900,3eage@cmaisonneuve.qc.ca,education3eage.ca,île de Montréal,personnes retraitées et préretraitées,montreal
collège de maisonneuve,"3800, rue Sherbrooke Est Mercier—Hochelaga-Maisonneuve Montréal QC H1X 2A2","Établissement public d'enseignement de niveau collégial. Programmes préuniversitaires et techniques (DEC), attestation d'études collégiales (AEC). Formation continue et services aux entreprises. École...",514 254-7131,communic@cmaisonneuve.qc.ca,www.cmaisonneuve.qc.ca,le Québec,,provincial
collège de maisonneuve - clinique de santé,"3800, rue Sherbrooke Est, local D-1673 Mercier—Hochelaga-Maisonneuve Montréal QC H1X 2A2",Services infirmiers gratuits offerts par les personnes étudiantes sous la supervision du personnel enseignant. Service offert à la population: cours prénataux en ligne. Services offerts aux personnes ...,514 254-7131 poste 2222,cliniquedesante@cmaisonneuve.qc.ca,www.cmaisonneuve.qc.ca/campus-installations/lieux-detudes/cliniques-ecoles/clinique-de-sante/,le Québec,"personnes de 14 ans et plus, personnes étudiantes et personnes employées, parents",provincial
collège de maisonneuve - clinique d'hygiène dentaire,"3800, rue Sherbrooke Est, porte A-28 Mercier—Hochelaga-Maisonneuve Montréal QC H1X 2A2",Soins dentaires à prix modiques prodigués par des personnes étudiantes sous la supervision du personnel. Examen avec radiographies. Enseignement de mesures d'hygiène dentaire personnalisées. Détartrag,514 787-1702,clinique.dentaire@cmaisonneuve.qc.ca,www.cmaisonneuve.qc.ca/clinique-ecole-hygiene-dentaire,le Québec,,provincial
maisons de l'ancre (les) - habitation pelletier,"3470, rue de Chambly Rosemont—La Petite-Patrie Montréal QC H1W 3J9",Logements subventionnés avec soutien communautaire.,514 525-3267,soutiencommunautaire@lesmaisonsdelancre.org,www.lesmaisonsdelancre.org,île de Montréal,"femmes, personnes trans et personnes non-binaires de 30 ans et plus en difficulté qui ont fait une démarche vers l'autonomie en logement",montreal
environnement jeunesse,"3000, rue Omer Lavallée, bureau 122 Rosemont—La Petite-Patrie Montréal QC H1Y 3R8",Éducation en environnement. Sensibilisation. Programmes d'accompagnement et de certification. Colloques et présentations dans les écoles. Promotion du vélo. Formation. Accompagnement pour des jeunes.,514 252-3016,infoenjeu@enjeu.qc.ca,enjeu.qc.ca,le Québec,"jeunes, gestionnaires en environnement, CPE, écoles, cégeps et collèges",provincial
société canadienne de l'hémophilie - section québec,"3000, rue Omer-Lavallée, bureau 118 Rosemont—La Petite-Patrie Montréal QC H1Y 3R8",Information et recherche. Éducation et sensibilisation. Service-conseil. Défense de droits pour personnes hémophiles. Services pour personnes infectées par le VIH à la suite d'une transfusion sanguine,1 877 870-0666,info@schq.org,www.hemophilia.ca/fr/quebec,le Québec,"personnes vivant avec des troubles de la coagulation sanguine ou avec les conséquences d'une transfusion sanguine (VIH/sida, hépatite C, etc.)",provincial
espace pour la vie - biodôme,"4777, avenue Pierre-De Coubertin Mercier—Hochelaga-Maisonneuve Montréal QC H1V 1B3","Lieu de conservation, d'éducation à l'environnement et de recherche scientifique. Expositions. Collections vivantes.",1 855 518-4506,espacepourlavie@ville.montreal.qc.ca,espacepourlavie.ca/biodome,le Québec,,provincial
accès cible (santé mentale travail),"5650, rue D'Iberville, bureau 600 Rosemont—La Petite-Patrie Montréal QC H2G 2B3","Aide en employabilité et intégration au marché du travail. Ateliers de connaissance de soi, stage en entreprise, méthodes et recherche d'emploi. Mise à jour professionnelle en bureautique. Réadaptatio...",514 525-8888,info@acces-cible-smt.qc.ca,www.acces-cible.org,Grand Montréal,personnes qui vivent ou ont vécu des problèmes de santé mentale et qui désirent réintégrer le marché du travail,grand_montreal
