nom,adresse,description,telephone,courriel,site_web,territoire,clientele,categorie_territoire,secteur,secteur_secondaire,exclu
regroupement pour la trisomie 21,"3250, boulevard Saint-Joseph Est, bureau 1-A Rosemont—La Petite-Patrie Montréal QC H1Y 3G2",Accompagnement et entraide. Stimulation précoce. Programme de jour. Loisirs. Activités socioculturelles. Défense des droits. Conférences.,514 850-0666,info@trisomie.qc.ca,trisomie.qc.ca,Grand Montréal,"personnes vivant avec la trisomie 21, leurs parents, programme de jour: personnes vivant avec la trisomie 21 de plus de 21 ans",grand_montreal,sante,developpement_enfants_familles,non
service d'hébergement st-denis,"6791, boulevard Saint-Michel Rosemont—La Petite-Patrie Montréal QC H1Y 2G4","Hébergement de 3 à 6 mois de type chambres et pension. Intervention individuelle et de groupe: soutien dans la compréhension de sa situation et l'identification de solutions, recherche d'autonomie (bu...",514 374-6673,heberg.stdenis@oricom.ca,hebergementstdenis.com,Grand Montréal,personnes de 15 à 20 ans en difficulté,grand_montreal,soutien_vulnerabilite,logement,non
alcooliques anonymes - région 87,"3920, rue Rachel Est Rosemont—La Petite-Patrie Montréal QC H1X 1Z3","Soutien téléphonique. Groupes d'entraide hebdomadaires, auto-animés ou animés par un membre. Liste des réunions en ligne: meetings.aa87.org/meetings Certains réunions disponibles pour personnes malent...",1 866 544-6322,aide@aa87.org,www.aa87.org,"île de Montréal, Montérégie",personnes de tous âges ayant un problème de consommation ou de dépendance à l'alcool,montreal,soutien_vulnerabilite,sante,non
alcooliques anonymes,"3920, rue Rachel Est Rosemont—La Petite-Patrie Montréal QC H1X 1Z3","Soutien téléphonique. Groupes d'entraide hebdomadaires, auto-animés ou animés par un membre. Liste des réunions en ligne: m.aa87.org/meetings Réunions disponibles avec interprète LSQ pour personnes ma...",1 866 544-6322,aide@aa87.org,www.aa87.org,"île de Montréal, Montérégie",personnes de tous âges ayant un problème de consommation ou de dépendance à l'alcool,montreal,soutien_vulnerabilite,sante,non
oasis des enfants de rosemont (l'),"2555, rue Holt Rosemont—La Petite-Patrie Montréal QC H1Y 1N4","Lieu d'accueil, d'écoute et d'accompagnement pour les enfants de 0 à 12 ans et leur famille. Maison des enfants: accueil gratuit tous les jours après l'école pour les enfants de 5 à 12 ans. Activités ...",514 374-9111,info@oasisdesenfants.com,www.oasisdesenfants.com,"Aide alimentaire, paniers de Noël, fournitures scolaires: codes postaux commençant par H1X, H1Y, H1T, H1W, H1S","enfants de 0 à 12 ans et leur famille, halte-garderie: enfants de 0 à 5 ans, familles avec enfants",provincial,developpement_enfants_familles,,non
fédération québécoise de l'autisme,"3396, rue Jean-Talon Est Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 1W8",Information et référence. Soutien aux membres. Formation. Centre de documentation. Défense des droits et représentation.,1 888 830-2833,direction@autisme.qc.ca,www.autisme.qc.ca,le Québec,"personnes autistes, organismes, familles, proches",provincial,sante,defense_droits,non
regroupement partage,"5789, rue D'Iberville Rosemont—La Petite-Patrie Montréal QC H2G 2B8","Regroupement et soutien des concertations locales qui organisent l'Opération Sac à dos. Sensibilisation de la population sur les enjeux liés à la pauvreté, à l'insécurité alimentaire et à leurs impact...",514 383-2460,info@regroupementpartage.org,regroupementpartage.ca,île de Montréal,"groupes communautaires, personnes à faible revenu",montreal,developpement_communautaire,bien_etre_alimentaire,non
association québécoise des laryngectomisés,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9","Information par téléphone, en ligne ou en personne. Visites aux futur·e·s opéré·e·s dans les hôpitaux. Entraide et rencontres sociales. Documentation. Colloques.",1 844 285-2335,info@aqlar.org,aqlar.org,le Québec,"personnes laryngectomisées, leurs proches, professionnel·le·s de la santé",provincial,sante,soutien_vulnerabilite,non
maison jacques-cantin,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9","Hébergement pour personnes recevant des traitements pour le cancer à Montréal. Transport vers les centres de traitement. Repas et collations, activités récréatives, prothèses capillaires et mammaires,...",1 888 939-3333,maison@cancer.ca,cancer.ca/fr,le Québec,"personnes atteintes de cancer, leurs accompagnateur·rice·s",provincial,sante,soutien_vulnerabilite,non
société canadienne du cancer - division du québec,"5151, boulevard de l'Assomption Rosemont—La Petite-Patrie Montréal QC H1T 4A9",Information et référence. Communauté virtuelle: www.parlonscancer.ca Répertoire de services à la communauté: csl.cancer.ca/fr Aide à la cessation tabagique. Prêt de prothèses capillaires et don de pro...,1 888 939-3333,info@sic.cancer.ca,cancer.ca/fr,le Québec,"personnes atteintes de cancer et leurs proches, proches aidant·e·s, grand public, professionnel·le·s de la santé",provincial,sante,soutien_vulnerabilite,non
maisons de l'ancre (les) - habitation pelletier,"3470, rue de Chambly Rosemont—La Petite-Patrie Montréal QC H1W 3J9",Logements subventionnés avec soutien communautaire.,514 525-3267,soutiencommunautaire@lesmaisonsdelancre.org,www.lesmaisonsdelancre.org,île de Montréal,"femmes, personnes trans et personnes non-binaires de 30 ans et plus en difficulté qui ont fait une démarche vers l'autonomie en logement",montreal,logement,soutien_vulnerabilite,non
société canadienne de l'hémophilie - section québec,"3000, rue Omer-Lavallée, bureau 118 Rosemont—La Petite-Patrie Montréal QC H1Y 3R8",Information et recherche. Éducation et sensibilisation. Service-conseil. Défense de droits pour personnes hémophiles. Services pour personnes infectées par le VIH à la suite d'une transfusion sanguine,1 877 870-0666,info@schq.org,www.hemophilia.ca/fr/quebec,le Québec,"personnes vivant avec des troubles de la coagulation sanguine ou avec les conséquences d'une transfusion sanguine (VIH/sida, hépatite C, etc.)",provincial,sante,defense_droits,non
accès cible (santé mentale travail),"5650, rue D'Iberville, bureau 600 Rosemont—La Petite-Patrie Montréal QC H2G 2B3","Aide en employabilité et intégration au marché du travail. Ateliers de connaissance de soi, stage en entreprise, méthodes et recherche d'emploi. Mise à jour professionnelle en bureautique. Réadaptatio...",514 525-8888,info@acces-cible-smt.qc.ca,www.acces-cible.org,Grand Montréal,personnes qui vivent ou ont vécu des problèmes de santé mentale et qui désirent réintégrer le marché du travail,grand_montreal,emploi,sante,non
réseau québécois d'action pour la santé des femmes,"6415, rue des Écores, 1er étage Rosemont—La Petite-Patrie Montréal QC H2G 2J6","Réseau multidisciplinaire. Promotion et défense des droits et intérêts des femmes. Mobilisation et représentation. Production et diffusion d'information en santé. Ateliers de formation, conférences, c...",514 877-3189,rqasf@rqasf.qc.ca,www.rqasf.qc.ca,le Québec,"femmes, organisations de femmes",provincial,defense_droits,sante,non
revdec,"2660, avenue Letourneux Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2P4","Accompagnement scolaire. Activités éducatives, culturelles et sportives. Suivi psychosocial individualisé. Soutien personnalisé pour l'orientation scolaire.",514 259-0634,admin@revdec.org,www.revdec.org,île de Montréal,"adolescent·e·s à risque ou en situation de décrochage scolaire, toujours en obligation de fréquentation scolaire",montreal,education_formation,developpement_enfants_familles,non
mûrier (le),"2615, boulevard Pie-IX Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2E8","Logements supervisés: appartements, studios et foyers de groupe. Stage d'expérimentation au travail dans une cuisine de production. Atelier d'apprentissages culinaires à domicile.",514 254-6110,info@lemurier.org,lemurier.org,île de Montréal,hommes et femmes adultes vivant avec un trouble de santé mentale,montreal,sante,logement,non
association de la neurofibromatose du québec (l'),Montréal QC,Activités de sensibilisation à la neurofibromatose. Activités familiales. Soutien aux personnes atteintes et à leur famille par téléphone ou courriel. Accès à de la documentation médicale. Accès à des...,514 385-6702,anfq@anfq.org,anfq.ca,le Québec,"personnes vivant avec la neurofibromatose, NF1, NF2 et schwannomatose, leurs familles et proches",provincial,sante,soutien_vulnerabilite,non
centre haïtien d'action familiale,"2573, rue Bélanger Est Villeray—Saint-Michel—Parc-Extension Montréal QC H1Y 1A3",Information et référence. Programme Y'a personne de parfait et groupe de soutien mensuel ouvert visant les nouveaux parents immigrants. Soutien pour personnes demandeuses d'asile: accompagnement dans ...,514 729-8834,chafquebec@yahoo.ca,,Grand Montréal,familles haïtiennes en difficulté,grand_montreal,developpement_enfants_familles,soutien_vulnerabilite,non
déclic - initiatives pour la formation et l'emploi des jeunes,"6250, rue des Écores Rosemont—La Petite-Patrie Montréal QC H2G 2J5",Services socio-psycho-pédagogiques pour jeunes adultes en difficultés qui souhaitent effectuer un retour à l'école et avoir accès à un diplôme qualifiant. Programme de préscolarisation: stabi,514 277-5559,info@declic.ca,www.declic.ca,Grand Montréal,jeunes adultes de 16 à 24 ans ayant des difficultés d'adaptation et d'apprentissage et nécessitant un soutien psychosocial,grand_montreal,education_formation,soutien_vulnerabilite,non
ymca du québec (les) - centre desjardins - service de supervision des droits d'accès,"2564, avenue Desjardins Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2H7",Supervision des droits d'accès. Visites supervisées d'une durée maximale de 2 heures. Échange de garde. Appels supervisés.,514 252-7442,centredesjardins@ymcaquebec.org,www.ymcaquebec.org,île de Montréal,parents,montreal,developpement_enfants_familles,soutien_vulnerabilite,non
maison l'exode (la) - pavillon andré-dumont,"2590, avenue Letourneux Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2P4",Programme de réinsertion sociale avec hébergement d'une durée de 3 à 12 mois. Thérapie. Repas. Auberge de Bruxelles: logements de transition d'une durée de 5 ans pour les personnes ayant effectué le p...,514 255-7727,info@maison-exode.org,maison-exode.org,le Québec,"hommes et femmes de 18 ans et plus vivant avec des problèmes de toxicomanie, d'alcoolisme ou de jeu pathologique ayant complété un programme de thérapie interne dans les 6 mois précédant leur demande d'admission",provincial,soutien_vulnerabilite,logement,non
insertech angus,"4820, rue Molson Rosemont—La Petite-Patrie Montréal QC H1Y 3J8",Entreprise d'insertion en réemploi de matériel informatique. Vente d'ordinateurs et de cellulaires reconditionnés abordables sur place et en ligne. Cours d'informatique. Récupération d'ordinateurs et ...,514 596-2842,insertech@insertech.ca,www.insertech.ca,le Québec,"insertion professionnelle: jeunes de 16 à 35 ans éloignés du marché du travail, vente d'ordinateurs reconditionnés, services de réparation et cours d'informatique: grand public et organismes à but non lucratif",provincial,emploi,education_formation,non
collectif des entreprises d'insertion du québec,"4100, rue André-Laurendeau, bureau 200 Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Regroupement d'entreprises d'insertion. Information. Promotion et représentation. Réseautage. Soutien à la formation et à la commercialisation. Mutuelle de formation.,514 270-4905,ceiq@collectif.qc.ca,collectif.qc.ca,le Québec,"entreprises d'insertion, personnes en situation de vulnérabilité",provincial,emploi,developpement_communautaire,non
projet intégration montréal,"4100, rue André-Laurendeau, bureau 200 Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Formation rémunérée en entreprise d'insertion. Formation complémentaire en francisation disponible. Possibilité d'entrée progressive avec ateliers préparatoires.,514 270-4905 poste 230,integration2@collectif.qc.ca,collectif.qc.ca,île de Montréal,personnes de 16 à 35 ans membre d'une minorité visible,montreal,emploi,education_formation,non
réseau des services spécialisés de main-d'oeuvre,"4100, rue André-Laurendeau, bureau 220 Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Regroupement d'organismes offrant des services spécialisés en employabilité pour personnes sous-représentées sur le marché du travail. Projet FIT (Formation Intégration Travail) : accompagnement pour ...,514 904-1544,info@rssmo.qc.ca,rssmo.qc.ca,le Québec,"organismes d'employabilité, personnes ayant des difficultés d'insertion socioprofessionnelle, entreprises",provincial,emploi,developpement_communautaire,oui
groupe part (programme d'apprentissage retour au travail),"4100, avenue André-Laurendeau Rosemont—La Petite-Patrie Montréal QC H1Y 3N6",Réinsertion en emploi. PART du Chef: entreprise d'insertion socioprofessionnelle offrant à ses travailleur·euse·s en formation la possibilité d'expérimenter différents emplois reliés à la cuisine,514 526-7278,mthomas@groupepart.ca,www.groupepart.ca,Grand Montréal,"personnes de 18 ans et plus avec des problèmes de santé mentale ou psychosociaux, bénéficiant d'un suivi médical ou psychosocial, repas congelés, cafétéria et traiteur: population générale",grand_montreal,emploi,sante,non
service d'entretien pro-prêt,"5500, rue Fullum, bureau 300 Rosemont—La Petite-Patrie Montréal QC H2G 2H3","Entreprise d'insertion socioprofessionnelle. Programmes d'insertion: préposé en entretien ménager commercial et initiation en entretien ménager. Services aux entreprises: entretien ménager, réparation...",514 279-3627,info@propret.org,propret.org,Grand Montréal,personne de 16 ans et plus,grand_montreal,emploi,,non
atelier majuscule,"5500, rue Fullum, bureau 318 Rosemont—La Petite-Patrie Montréal QC H2G 2H3","Entreprise d'insertion offrant des services d'impression numérique pour les entreprises, les organismes, les institutions et les particulier·ère·s afin de soutenir les personnes vivant des situations ...",514 277-7535,recrutement@ateliermajuscule.ca,www.ateliermajuscule.ca,île de Montréal,"personnes de 18 ans et plus sans revenus, bénéficiaires de l'aide sociale, peu scolarisées, peu expérimentées sur le plan professionnel ou qui éprouvent de la difficulté à se trouver un emploi ou à le conserver et qui souhaitent s'intégrer au marché du travail",montreal,emploi,soutien_vulnerabilite,non
entraide saint-michel,"7701, avenue Léonard De Vinci, local 111 Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 0A1","Activités de réinsertion sociale et socioprofessionnelle. Accueil et intégration. Programme PAAS Action. Soutien, entraide et croissance personnelle. Activités récréatives, éducatives et pratiques. Su...",514 593-7344,info@entraidesaintmichel.org,entraidesaintmichel.org,Grand Montréal,personnes de 18 ans et plus avec des problèmes de santé mentale et autonomes,grand_montreal,sante,emploi,non
avenue hébergement communautaire (l'),"2587, rue Leclaire Mercier—Hochelaga-Maisonneuve Montréal QC H1V 3A8",Hébergement pour jeunes adultes en difficulté. Information et référence. Maison d'hébergement de transition d'une durée maximale de 6 mois. Petites Avenues: logements transitoires en colocation. Pigno...,514 254-2244,maison@lavenuehc.org,www.lavenuehc.org,Grand Montréal,hommes et femmes de 18 à 29 ans avec des problèmes d'intégration,grand_montreal,soutien_vulnerabilite,logement,non
maison le parcours - habitation des carrières,"2201, rue des Carrières Rosemont—La Petite-Patrie Montréal QC H2G 1X4",Maison de chambres autonome pour personnes vivant avec des problèmes de santé mentale.,438 386-9968,nprenovost@maisonleparcours.ca,maisonleparcours.ca/habitations,île de Montréal,adultes vivant avec des problèmes de santé mentale,montreal,logement,sante,non
refuge hochelaga,"4567, rue Hochelaga Mercier—Hochelaga-Maisonneuve Montréal QC H1V 1C8",Centre de jour et refuge pour personnes en situation d'itinérance. Service de repas. Douche et buanderie. Intervention psychosociale. Hébergement de transition. Distribution de trousse de naloxone. Ré...,514 251-2081 poste 102 et 103,info@capstbarnabe.org,www.capstbarnabe.org,île de Montréal,"personnes en situation d'itinérance, vulnérables ou en état de précarité ou sans ressources, animaux de compagnie acceptés",montreal,soutien_vulnerabilite,bien_etre_alimentaire,non
diabète québec,"3750, boulevard Crémazie Est, bureau 500 Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 1B6","Accompagnement des personnes vivant avec le diabète pour l'amélioration de leur bien-être. Information: service InfoDiabète par téléphone et clavardage, site internet, documentation. Défense des intér...",514 259-3422,infodiabete@diabete.qc.ca,www.diabete.qc.ca,le Québec,"personnes vivant avec le diabète et leur famille, professionnel·le·s de la santé",provincial,sante,defense_droits,non
auberge du coeur le foyer,"2650, rue Davidson, bureau 110 Mercier—Hochelaga-Maisonneuve Montréal QC H1W 2Z2","Réinsertion sociale avec hébergement d'une durée d'un an. Auberge du coeur: chambres individuelles meublées à coût modique, incluant un poêle, un réfrigérateur, le chauffage, l'électricité et une conn...",514 522-3198,info@aubergelefoyer.ca,aubergelefoyer.ca,le Québec,"jeunes de tous genres de 18 à 30 ans ayant 20 heures de démarches (travail, école, formation) éprouvant des difficultés à se maintenir en logement autonome et désirant s'impliquer dans un milieu de vie et faire des apprentissages sur la vie autonome, ayant des revenus minimum de 700$ par mois",provincial,soutien_vulnerabilite,logement,non
coalition des organismes communautaires pour le développement de la main-d'oeuvre,"5000, rue d'Iberville, bureau 304 Le Plateau-Mont-Royal Montréal QC H2H 2S6",Insertion et intégration en emploi. Formation et éducation adaptées aux besoins. Promotion et défense des droits. Développement local et communautaire.,514 948-0505,communication@cocdmo.qc.ca,cocdmo.qc.ca,le Québec,"organismes en employabilité, personnes sans emploi",provincial,emploi,defense_droits,non
racine croisée,"2275, boulevard Saint-Joseph Est Le Plateau-Mont-Royal Montréal QC H2H 1G4",Banque alimentaire. Activités d'intégration culturelle et socioprofessionnelle pour personnes des minorités ethnoculturelles. Information et accompagnement à l'établissement de personnes nouvellement ...,514 225-3448,info@racinecroisee.ca,bienfaisance.racinecroisee.ca,île de Montréal,"personnes en situation de précarité, aide à l'établissement: personnes nouvellement arrivées, personnes immigrantes ou réfugiées",montreal,bien_etre_alimentaire,autres_missions_sociales,non
singa québec,"2275, boulevard Saint-Joseph Est, bureau 1.130 Le Plateau-Mont-Royal Montréal QC H2H 1G4",Innovation sociale et enrichissement culturel avec des personnes réfugiées. Jumelage interculturel et acompagnement lors des 6 premiers mois. Activités socioculturelles. Ateliers d'information. Ressou...,,info@singa.quebec,www.singa.quebec,le Québec,"personnes réfugiées, grand public",provincial,autres_missions_sociales,developpement_communautaire,non
viomax,"2275, avenue Laurier Est Le Plateau-Mont-Royal Montréal QC H2H 2N8","Activités physiques adaptées aux enfants, jeunes et adultes vivant avec un handicap physique. Piscine (bassin d'eau chaude). Salle de conditionnement physique adaptée. Cours de groupe en gymnase et à ...",514 527-4527 poste 712 329,info@civa.qc.ca,www.civa.qc.ca,Grand Montréal,personnes vivant avec un handicap physique,grand_montreal,sports_loisirs_tourisme,sante,oui
école de la relève,"3730, boulevard Crémazie Est, bureau 500 Villeray—Saint-Michel—Parc-Extension Montréal QC H2A 1B4",Services aux jeunes en difficulté. École de la Relève: formation académique de niveau secondaire jumelée avec l'apprentissage des arts martiaux et des ateliers d'employabilité. Programme de francisati...,514 325-9486 poste 0,info@ecoledelareleve.ca,www.ecoledelareleve.ca,Grand Montréal,enfants de 7 ans et plus,grand_montreal,education_formation,soutien_vulnerabilite,non
habitations l'escalier de montréal (les) - l'auberge du coeur l'escalier,"2295, rue Desjardins Mercier—Hochelaga-Maisonneuve Montréal QC H1V 2H6",Hébergement de transition. Hébergement d'une durée maximale de 6 mois. Rencontres individuelles. Activités de groupe. Encadrement psychosocial. Suivi posthébergement.,514 252-9886,info@lescalier.ca,www.lescalier.ca,Grand Montréal,"jeunes adultes de 18 à 30 ans en difficulté, itinérants ou à risque d'itinérance",grand_montreal,soutien_vulnerabilite,logement,non
