nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
bouger et vivre,Organisme favorisant le maintien à domicile des personnes aînées et à améliorer la qualité de vie des personnes adultes présentant des problèmes de mobilité ou souffrant de maladie chronique. Programm...,Santé / Soutien aux personnes vulnérables,bouger.vivre@gmail.com,438 836-1559,,Montréal
bread and beyond,Soutien aux organismes oeuvrant pour les personnes en situation d'itinérance ou à risque de le devenir. Programme le Pain: préparation et livraison de sandwiches frais et nutritifs aux refuges de Mont...,Soutien aux personnes vulnérables / Bien Etre Alimentaire,volunteerbreadandbeyond@gmail.com,,fr.breadandbeyond.ca,Montréal
buffets insère-jeunes,"Entreprise d'insertion sociale et professionnelle. Formation BIS: expérience de travail rémunérée de 6 mois en cuisine, formation technique comme aide-cuisinier ou aide-pâtissier, suivi individuel, at...",Emploi / Bien Etre Alimentaire,formation@traiteurbis.qc.ca,514 593-7705,traiteurbis.qc.ca,Montréal
bureau d'aide juridique - droit criminel et pénal et droit de la santé - montréal,"Bureau d'aide juridique en droit criminel et pénal et droit de la santé. Consultation téléphonique avec un·e avocat·e, accessible 24 heures, 7 jours, lors d'une arrestatio",Défense des droits / Santé,baj.criminalistes@ccjm.qc.ca,514 864-2111 6903,www.aidejuridiquedemontreal.ca,Montréal
bureau d'aide juridique - droit de la jeunesse - montréal,"Bureau d'aide juridique en droit de la jeunesse. Consultation téléphonique avec un·e avocat·e, accessible 24 heures, 7 jours, lors d'une arrestation ou en cas de détention.",Défense des droits,baj.jeunesse@ccjm.qc.ca,514 842-2244,www.aidejuridiquedemontreal.ca,Montréal
calacs trêve pour elles,"Information, référence, évaluation. Rencontres individuelles pour les personnes adolescentes de 14 à 17 ans. Groupes de soutien pour les personnes de 18 ans et plus. Accompagnement pour remplir le for...",Soutien aux personnes vulnérables / Défense des droits,info@trevepourelles.org,514 251-0323,trevepourelles.org,Montréal
canada afrique pour le développement durable,"Soutien aux communautés multiculturelles et promotion de l'intégration des immigrants et des réfugiés. Conseil et accompagnement. Conférences et ateliers sur la diversité, le multiculturalisme, les lu...",Autres missions sociales / Développement communautaire,cadeveloppementdurable@gmail.com,438 936-3697,www.caddurable.com,Montréal
cap st-barnabé - refuge étape (l') - couples,Centre d'hébergement d'urgence pour personnes en situation d'itinérance. Service de repas. Douche et buanderie. Suivi psychosocial. Aide au logement.,Soutien aux personnes vulnérables / Logement,info@capstbarnabe.org,514 251-2081,www.capstbarnabe.org,Montréal
carrefour ble,Programmes Agrippez-vous et Transformez-vous: formations d'une durée de 13 semaines de cours théoriques et de 8 semaines de stage pratique de mise à niveau pour les professionnels en agroalimentaire e...,Emploi / Éducation et formation,cout@carrefourble.qc.ca,514 279-3669,carrefourble.qc.ca,Montréal
carrefour d'aide aux nouveaux arrivants - point de service laverdure,Francisation et mobilisation. Jumelage interculturel. Cours de francisation en collaboration avec le MIFI. Atelier d'initiation et de conversation en français. Activités collectives: c,Autres missions sociales / Éducation et formation,info@canamtl.com,514 382-0735,canamtl.com,Montréal
carrefour jeunesse-emploi côte-des-neiges - clinique d'impôts,Clinique d'impôts par dépôt.,Soutien aux personnes vulnérables / Emploi,info@cjecdn.qc.ca,514 342-5678 poste 257,www.cjecdn.qc.ca,Montréal
cartier émilie,"Accueil et références. Projets ponctuels. Activités d'intégration des jeunes et des adultes contrevenant·e·s par le biais de travaux communautaires, en partenariat avec Trajet Jeunesse, Sécurité Québe...",Soutien aux personnes vulnérables / Autres missions sociales,info@friperieemilie.com,514 658-3126 poste 221,friperieemilie.com,Montréal
centre communautaire cefedi,Alimentation Cuisine collective. Aide alimentaire.Immigration et communautés culturelles Interprétation et traduction pour personnes nouvellement arrivées. Accompagnement des personnes nouvellement ar...,Bien Etre Alimentaire / Autres missions sociales,centrecommunautairecefedi144@hotmail.com,514 384-5330,www.cefedi.org,Montréal
centre communautaire irakien,Assistance à la communauté irakienne. Aide à la recherche de logement et d'emploi. Organisation d'activités communautaires. Représentation de la communauté auprès des instances locales et nationales. ...,Autres missions sociales / Développement communautaire,info@iraqicommunitycenter.com,,iraqicommunitycenter.com,Montréal
centre d'action de développement et de recherche en employabilité,Programme d'aide et accompagnement social - PAAS Action: insertion au travail de personnes vivant avec des problèmes de santé mentale au moyen de structures favorables au développement d,Emploi / Santé,administration@lecadre.ca,514 367-3576,www.lecadre.ca,Montréal
centre d'aide aux victimes d'actes criminels de montréal - centre de l'île,Services confidentiels de première ligne adaptés à chacune des étapes du processus judiciaire. Évaluation des besoins. Intervention post-traumatique et psychojudiciaire. Informa,Soutien aux personnes vulnérables / Défense des droits,communication@cavacmontreal.qc.ca,1 866 532-2822,cavac.qc.ca,Montréal
centre d'aide nouveau départ,Lutte contre la pauvreté et briser l'isolement des personnes défavorisées. Dépannage alimentaire incluant de la viande. Paniers de Noël.,Bien Etre Alimentaire / Soutien aux personnes vulnérables,conseillant576@gmail.com,,,Montréal
centre d'amitié autochtone de montréal,"Centre de jour pour personnes autochtones en situation d'itinérance. Repas chauds: déjeuner et dîner. Dons de vêtements. Douches et buanderie. Patrouilles de rue et d'orientation en milieu urbain, éch...",Soutien aux personnes vulnérables / Bien Etre Alimentaire,info@nfcm.org,514 499-1854,www.nfcm.org/fr,Montréal
centre d'apprentissage parallèle,Centre d'apprentissage pour personnes vivant avec un problème de santé mentale. Programme de préparation en emploi de 6 mois (PPE): acquisition de compétences personnelles et professionnelles pour s'i...,Emploi / Santé,info@ateliersducap.org,514 843-5658,ateliersducap.org,Montréal
centre d'assistance et d'accompagnement aux plaintes - île de montréal,Défense des droits des usagers du réseau de la santé et des services sociaux. Information et référence. Soutien et conseil. Aide pour formuler une plainte et accompagnement dans les,Défense des droits / Santé,info@caapidm.ca,514 861-5998,www.caapidm.ca,Montréal
centre d'entraide le pivot,Écoute et référence. Café-rencontre. Activités de loisirs. Milieu de vie et soutien dans la communauté. Entraide mutuelle. Activités de soutien et de formation à l'animation de groupes d'entraide en s...,Santé / Soutien aux personnes vulnérables,celp@videotron.ca,514 251-1869,www.montrealpivot.org,Montréal
centre d'intégration et d'intervention multiculturel de l'ouest de montréal,Organisme qui oeuvre auprès des communautés immigrantes. Distribution de paniers alimentaires. Projet Aînés Actifs: ateliers d'informatique et ordinateurs sur place. Camps de jo,Autres missions sociales / Bien Etre Alimentaire,info@ciimo.ca,514 237-4413,ciimo.ca,Montréal
centre d'intégration multi-services de l'ouest de l'île - alexander,Accueil et intégration des immigrants.Francisation Cours de français à temps partiel. Cours de français en entreprise.Emploi Ateliers de recherche d'emploi et de stage. Aide individuell,Autres missions sociales / Emploi,info@cimoi.com,514 685-3000,cimoi.com,Montréal
centre d'intégration tsa,"Soutien, écoute et informations aux parents. Répit de fin de semaine du vendredi au dimanche.",Santé / Soutien aux personnes vulnérables,kathalay2@hotmail.com,514 679-8689,,Montréal
centre d'éducation et d'action des femmes,"Accueil, écoute et références. Halte-garderie pendant les activités. Comité d'actions locales et féministes. Formations sur le harcèlement de rue. Midis-soupes. Cours d'auto-défense. Lieu de rencontre...",Défense des droits / Éducation et formation,info@ceaf-montreal.qc.ca,514 524-3901,ceaf-montreal.qc.ca,Montréal
centre de développement yaldei shashuim,Programme individualisé d'intervention précoce pour enfants de 0 à 6 ans et thérapies spécialisées pour enfants de 0 à 21 ans vivant avec des problèmes de développement. École Yaldei: enfants de 4 à 1...,Développement enfants et familles / Santé,info@yaldei.org,514 279-3666,www.centreyaldei.org,Montréal
centre de jour l'échelon,"Laboratoire informatique. Souper communautaire hebdomadaire. Cuisine collective. Atelier de croissance personnelle, détente et yoga. Groupe de support pour les entendeur·euse·s de voix. Café-rencontre...",Santé / Bien Etre Alimentaire,cdj@maisonechelon.ca,514 351-0836,www.maisonechelon.ca,Montréal
centre de justice de proximité du grand montréal,"Clinique d'information juridique: explication de la loi, information sur les types de recours, les actes de procédure et le déroulement des instances, orientation dans le système de la justice. Référe...",Défense des droits,montreal@cjpqc.ca,514 227-3782,www.justicedeproximite.qc.ca,Montréal
centre de justice des premiers peuples de montréal,Information et références. Accompagnement dans les démarches pour personnes judiciarisées. Soutien avec la réinsertion. Accompagnement dans les démarches pour victimes de crime. Alternatives communaut...,Défense des droits / Soutien aux personnes vulnérables,admin@justicemontreal.ca,514 840-9485,cjppm.org,Montréal
centre de recherche d'emploi côte-des-neiges,"Accompagnement pour intégrer le marché du travail. Club de recherche d'emploi: sessions de groupe d'une durée de 3 semaines. Rédaction de CV, de lettres de présentation et service rapide de production...",Emploi / Autres missions sociales,info@crecdn.com,514 733-3026,crecdn.com,Montréal
centre de solidarité lesbienne,"Intervention et suivi pour différentes problématiques: séparation, deuil, coming out, etc. Intervention et suivi pour victimes et personnes autrices de violence conjugale. Groupes de discussion. Ateli...",Soutien aux personnes vulnérables / Défense des droits,info@solidaritelesbienne.qc.ca,514 526-2452,www.solidaritelesbienne.qc.ca,Montréal
centre des femmes d'ici et d'ailleurs,"Lieu sûr et inclusif où les femmes peuvent apprendre, se connecter et agir. Accueil, écoute confidentielle, soutien et référence. Ateliers de conversation en français. Activités éducatives. Activités ...",Soutien aux personnes vulnérables / Éducation et formation,info@cdfia.net,514 495-7728,https://cdfia.net/,Montréal
centre des femmes de convictions de montréal,"Hébergement d'urgence pour femmes adultes en situation d'itinérance. Information et références. Relation d'aide. Petit-déjeuner et souper inclus, buanderie sur place. Intervenante sur place. Soutien: ...",Soutien aux personnes vulnérables / Logement,admission@femmesdeconvictions.org,514 381-6046,femmesdeconvictions.org,Montréal
centre des femmes de convictions de montréal - logements de transition,Hébergement à court terme pour femmes adultes en situation d'itinérance. Durée de séjour de 21 nuits. Accompagnement dans les démarches.,Soutien aux personnes vulnérables / Logement,info@femmesdeconvictions.org,514 381-6046,femmesdeconvictions.org,Montréal
centre des femmes de montréal - employabilité - femmes de 50 ans et plus,Soutien aux femmes de 50 ans et plus pour l'intégration en emploi. Entrée continue. Accompagnement individuel ou programme de groupe. Programme de réorientation de carrière. Jumela,Emploi / Soutien aux personnes vulnérables,emploi@centredesfemmesdemtl.org,514 842-6652,centredesfemmesdemtl.org/fr,Montréal
centre des femmes solidaires et engagées,"Accueil, écoute active sur place, par téléphone ou par Zoom. Accompagnement pour femmes qui vivent une relation abusive. Consultations individuelles. Clinique juridique. Information et référence. Cent...",Soutien aux personnes vulnérables / Défense des droits,info@cfse.ca,514 388-0980,cfse.ca,Montréal
centre des femmes west island,"Cours de jour et de soir: développement personnel, conditionnement physique, intérêts spéciaux et cours pour les enfants. Ateliers pour les adolescent·e·s et les adultes. Programmes pour les personnes...",Développement enfants et familles / Éducation et formation,womenscentre@wiwc.ca,514 695-8529,wiwc.ca,Montréal
centre didache (le),"Activités pour personnes autistes ou vivant avec une déficience intellectuelle et soutien à leurs familles. Information, soutien et référence. Camp de jour estival. Camp de jour de la relâche scolaire...",Santé / Développement enfants et familles,centredidache@hotmail.ca,514 274-9358,www.centredidache.com,Montréal
centre eurêka,"Service conseil en développement de l'employabilité (SCDE). Intervention individuelle, encadrement et suivi à long terme pour les personnes de 40 ans et plus et les personnes nouvellement arrivées ave...",Emploi / Autres missions sociales,info@centreeureka.org,514 937-8998 poste 300,www.centreeureka.org,Montréal
centre génération emploi,Intégration en emploi. Projet de préparation à l'emploi pour personnes immigrantes ou de minorités racisées visant le rehaussement des compétences en recherche d'emploi (bien-être psychologique et phy...,Emploi / Autres missions sociales,info@generationemploi.org,514 948-0000,www.generationemploi.org,Montréal
centre haïtien d'animation et d'intervention sociales - clinique d'impôts,"Clinique d'impôts à l'année, par dépôt et sans rendez-vous.",Soutien aux personnes vulnérables / Autres missions sociales,centrehaitien@chais.qc.ca,514 271-7563,www.chais.qc.ca,Montréal
centre international de l'espoir,"Aide aux familles vivant en situation de pauvreté. Programme Banque du bébé et de l'enfant: aide matérielle (lait, dons de mobilier, équipements, jouets et accessoires de base) pour nouveaux-nés et po...",Développement enfants et familles / Bien Etre Alimentaire,infos@ciespoir.org,514 561-1088,,Montréal
centre le beau voyage,"Lieu de socialisation. Accueil. Soutien et accompagnement. Activités, projets spéciaux et évènements. Place aux familles: intervention de milieu, activités et référence aux Habitations Mentana.",Développement enfants et familles / Développement communautaire,intervenants@centrelebeauvoyage.org,514 523-5852 poste 1,centrelebeauvoyage.org,Montréal
centre n a rive,"Centre d'alphabétisation et d'insertion sociale. Alphabétisation: lecture, écriture et informatique. Francisation et alpha-francisation. Rond-point des aînés: milieu de vie et d'insertion offrant des ...",Éducation et formation / Emploi,info@centrenarive.com,514 278-2157,centrenarive.com,Montréal
centre pour les victimes d'agression sexuelle de montréal,"Intervention médicosociale: examen médical et traitements. Information, accompagnement et références pour les procédures juridiques et policières. Suivi clinique individuel.",Soutien aux personnes vulnérables / Santé,info@cvasm.org,514 933-9007,cvasm.org/fr,Montréal
centre social d'aide aux immigrants,Accueil et intégration. Information et orientation. Intervention et soutien individuel. Aide avec les formulaires relatifs à l'immigration et la demande de citoyenneté. Assermentation de documents. Ac...,Autres missions sociales,csai@centrecsai.org,514 932-2953,centrecsai.org,Montréal
cercle amical de montréal,"Favorise l'inclusion et l'interaction des enfants, adolescent·e·s et jeunes adultes ayant des besoins spécifiques. Jumelage avec des adolescents neurotypiques pour participer à des activités sociales ...",Santé / Développement enfants et familles,info@friendshipcircle.ca,514 735-2255,www.cercledelamitie.ca,Montréal
chabad lifeline,"Réadaptation externe pour personnes aux prises avec une dépendance. Dépendances traitées: drogues, alcool, sexe, pornographie, jeu, médicaments, Internet, téléphone intelligent et jeux vidéos. Thérapi...",Santé / Soutien aux personnes vulnérables,lifelineinfo@chabadlifeline.com,514 738-7700,www.chabadlifeline.com,Montréal
"chez doris, la fondation du refuge pour femmes","Hébergement et centre Centre de jour: déjeuners, dîners et soupers gratuits, produits d'hygiène, vestiaire et douches, salle de repos incluant des lits de répit. Refuge de nuit Elspeth McConnell. Halt...",Soutien aux personnes vulnérables / Logement,info@chezdoris.org,514 937-2341 poste 221,www.chezdoris.org,Montréal
"chez doris, la fondation du refuge pour femmes - résidence bash shetty","Résidence permanente pour femmes vulnérables. Chambres privées meublées. Installations communes: cuisine, salons, terrasses extérieures). Soutien et supervision 24/7.",Soutien aux personnes vulnérables / Logement,residences@chezdoris.org,514 937-2341,https://chezdoris.org/,Montréal
clinique juridique de saint-michel,Consultation juridique gratuite. Bibliothèque juridique en ligne.,Défense des droits,info@cjsm.ca,514 621-4737,www.cjsm.ca,Montréal
club de recherche d'emploi montréal centre-nord,"Ateliers de recherche d'emploi. Aide à la rédaction de CV, préparation aux entrevues. Services spécialisés pour personnes nouvellement arrivées. Exploration du marché caché de l'emploi. Aide pour remp...",Emploi / Autres missions sociales,cre@cremcn.org,514 858-6611,cremcn.org,Montréal
coalition pour le maintien dans la communauté,"Regroupement, représentation et défense des intérêts afin de promouvoir le maintien des personnes aînées dans la communauté. Facilitation de la concertation, de la diffusion d'information et des échan...",Santé / Défense des droits,reseau@comaco.qc.ca,514 288-7122,www.comaco.qc.ca,Montréal
codépendants anonymes,Renseignements téléphoniques. Groupes d'entraide hebdomadaires auto-animés ou animés par un·e membre. Liste des réunions en ligne: codacanada.ca/online-meetings-3 Ressources en ligne.,Santé / Soutien aux personnes vulnérables,quebec.outreach@codacanada.ca,604 239-1042,codacanada.ca,Montréal
collectif bienvenue (le),"Organisme de soutien aux demandeurs d'asile nouvellement arrivés au pays et vulnérables.Programme de biens essentiels Dons d'articles: meubles, réfrigérateurs et cuisinières, ordinateurs et télévision...",Soutien aux personnes vulnérables / Autres missions sociales,info@welcomecollective.org,,www.welcomecollective.org/fr/accueil,Montréal
collectif consenti,"Rencontres individuelles, information, écoute téléphonique pour les personnes survivantes et leur entourage. Sensibilisation, éducation, prévention et défense des droits touchant la violence sexuelle....",Soutien aux personnes vulnérables / Défense des droits,info@collectifconsenti.ca,514 684-2198,collectifconsenti.ca,Montréal
comité chômage de montréal,Information et défense des droits des personnes chômeuses.,Défense des droits / Emploi,info@comitechomage.qc.ca,514 933-5915,comitechomage.qc.ca,Montréal
comité régional pour l'autisme et la déficience intellectuelle,"Défense collective des droits et promotion des intérêts. Concertation, représentation et mobilisation. Sensibilisation de la population et des décideur·euse·s.",Défense des droits / Santé,cradi@cradi.com,514 255-8111,,Montréal
communauté hadley - maison d'anne,Résidence pour femmes semi-autonomes. Soutien d'un·e travailleur·euse social·e. Activités et programmes préparant les résidentes souhaitant passer à un logement moins supervisé.,Santé / Soutien aux personnes vulnérables,managerclientservices@hadleycommunity.ca,514 933-6916 poste 218,hadleycommunity.ca,Montréal
communauté thérapeutique la chrysalide,Hébergement en foyer de groupe pour adultes vivant avec un trouble lié à la psychose. Milieu de vie expérimental et lieu de traitement psychosocial et psychanalytique. Soutien thérapeutique. Présence ...,Santé / Soutien aux personnes vulnérables,coordo.ctlc@gmail.com,514 378-3552,www.ctlachrysalide.org,Montréal
concertation femme,"Relation d'aide, écoute et référence. Information juridique gratuite. Information et intervention en violence conjugale. Sensibilisation à la mammographie de dépistage du cancer du sein. Ateliers de s...",Soutien aux personnes vulnérables / Défense des droits,info@concertationfemme.ca,514 336-3733,www.concertationfemme.ca,Montréal
conseil des femmes de montréal,"Aide à l'accomplissement de tout travail d'intérêt commun dans les domaines du statut de la femme, du bien-être social, de la santé publique et de l'éducation. Réseau comprenant plus de 40 organismes ...",Défense des droits / Développement enfants et familles,mcwinformation@gmail.com,,montrealcouncilofwomen.ca,Montréal
conseil des personnes âgées de la communauté noire de montréal,"Services et activités pour personnes aînées noires. Groupe de soutien. Visites d'amitié. Activités de groupe. Bénévolat. Séances d'informations mensuelles, conférences à tous les deux ans. D",Santé / Développement communautaire,cbacmtl@gmail.com,514 935-4951,cbacm.org,Montréal
corporation de développement économique communautaire lasalle-lachine,Information et référence. Service de développement économique local. Soutien aux chercheur·euse·s d'emploi. Programme pour les personnes nouvellement arrivées. Service de placement p,Développement communautaire / Emploi,info@cdec-lasallelachine.ca,514 469-0288,www.cdec-lasallelachine.ca,Montréal
creca - projet sault-au-récollet,Comité d'intégration des néo-Québécois. Stimulation précoce pour les 0-5 ans. Activités parents-enfants. Activités pour personnes aînées. Comité citoyens. Cuisines collectives.,Autres missions sociales / Développement enfants et familles,projetsar@outlook.com,514 883-3430,,Montréal
crystal meth anonyme - montréal,Soutien aux personnes aux prises avec des problèmes de consommation de méthamphétamine en cristaux (crystal meth). Groupe de discussion.,Soutien aux personnes vulnérables / Santé,mail@cmamtl.org,,www.cmamtl.org,Montréal
cuisine-atout,Programme d'insertion socioprofessionnelle de 6 mois. Formation technique et pratique pour les métiers semi-spécialisés en service alimentaire avec expérience en milieu de travail. Formation de base e...,Emploi / Bien Etre Alimentaire,info@cuisine-atout.com,514 939-4080,cuisine-atout.com,Montréal
dans la rue,Accompagnement des jeunes en difficulté. La Roulotte: travail de rue. Chez Pops: centre de jour. Le Bunker: refuge d'urgence. Logements sociaux avec soutien communautaire pour membres. Services à la f...,Soutien aux personnes vulnérables / Développement enfants et familles,info@danslarue.org,1 888 520-7677,danslarue.org,Montréal
dans la rue - chez pops,"Centre de jour. Cafétéria. Aide à la recherche de logement. Consultations juridiques, médicales et psychosociales. Dons de vêtements, d'articles d'hygiène et de couvertures. Atelier d'art, salle et at...",Soutien aux personnes vulnérables / Logement,centredejour@danslarue.org,1 888 520-7677,danslarue.org,Montréal
dans la rue - le bunker,Refuge d'urgence de 3 à 5 jours. Accueil de personnes mineures en fugue. Souper et déjeuner. Aide pour l'obtention de pièces d'identité. Information et référence. Accompagnement dans les démarches de ...,Soutien aux personnes vulnérables / Logement,bunker@danslarue.org,514 524-0029,danslarue.org,Montréal
dessercom,Transport et accompagnement aux rendez-vous médicaux par des employé·e·s. Services ambulanciers.,Santé,info@dessercom.org,1 877 355-5223,dessercom.com,Montréal
déphy montréal,Regroupement des organismes de défense des droits des personnes vivant avec un handicap. Concertation. Réseautage. Action communautaire. Représentation.,Défense des droits / Santé,info@dephy-mtl.org,514 255-4888,dephy-mtl.org,Montréal
en marge 12-17,"Accueil et hébergement pour les jeunes en difficultés. Écoute et réconfort. Travail de rue incluant prévention, éducation, référence et défense des droits. Hébergement d'urgence et à court terme. Acti...",Soutien aux personnes vulnérables / Développement enfants et familles,hebergement@enmarge1217.ca,514 849-7117,www.enmarge1217.ca,Montréal
entraide bois-de-boulogne,Accueil et soutien aux familles des nouveaux et anciens immigrants du Moyen-Orient. Aide aux devoirs. Visites et assistance aux personnes aînées. Cafés-rencontres. Conférences. Activités communautaire...,Autres missions sociales / Développement communautaire,info@entraideboisdeboulogne.ca,514 332-4222,entraideboisdeboulogne.org,Montréal
entraide ukrainienne de montréal,Organisme de maintien des personnes aînées dans la communauté. Informations et références. Traduction et aide pour remplir des documents. Jumelage avec des personnes âgées: visites lors de célébration...,Santé / Autres missions sociales,entraid1@bellnet.ca,514 729-9540,,Montréal
escale famille le triolet - escale pour toit,"Logement transitoire pour acquisition d'une autonomie et pour l'amélioration des conditions de vie des familles, durée maximale de 5 ans renouvelables. Soutien et accompagnement communautaire.",Logement / Développement enfants et familles,interventionept@eflt.net,514 252-0289,www.escalefamilleletriolet.org/escale-pour-toit,Montréal
espace la traversée - habitat charleroi,"Logements subventionnés avec services pour personnes aînées à risque d'itinérance. Soutien communautaire. Salles communautaires. Fiducie régionale solidaire: accompagnement dans la gestion du budget, ...",Logement / Soutien aux personnes vulnérables,hlt@espacelt.org,514 379-3526,espacelt.org,Montréal
ex aequo,Promotion de l'accessibilité universelle et défense des droits des personnes vivant avec une déficience motrice. Banque de personnes préposées pour les personnes utilisant le chèque emploi-service. Ac...,Défense des droits / Santé,info@exaequo.net,514 288-3852,exaequo.net,Montréal
exeko,"Création d'espaces égalitaires pour la réflexion collective et l'inclusion sociale par la médiation intellectuelle et culturelle. Ateliers créatifs: autodéfense intellectuelle, analyse sociale, partic...",Développement communautaire / Soutien aux personnes vulnérables,info@exeko.org,514 528-9706,exeko.org/fr,Montréal
family care collective,"Soutien et conseils pour accéder aux ressources liées à la santé reproductive, la santé mentale, les soins médicaux, la garde d'enfants, le travail et le logement. Activités: groupe de soutien en sant...",Santé / Développement enfants et familles,info@familycarecollective.org,514 961-1766,www.familycarecollective.org,Montréal
femmes du monde à côte-des-neiges,"Centre de femmes. Accueil, information, référence. Écoute en personne ou par téléphone. Groupe de soutien aux sujets variés: violence conjugale, santé mentale, gestion des émotions, relations difficil...",Soutien aux personnes vulnérables / Santé,info@femmesdumondecdn.org,514 735-9027,femmesdumondecdn.org,Montréal
fondation les petits rois,Promotion de l'éducation et le développement d'enfants qui vivent avec une déficience intellectuelle avec ou sans troubles liés au spectre de l'autisme. Encadrement éducatif. Accompagnement en milieu ...,Développement enfants et familles / Santé,info@petitsrois.org,,petitsrois.org/fr,Montréal
fondation miriam (la),"Organisme qui ouvre pour le bien-être, le développement et l'inclusion des personnes ayant un trouble neurodéveloppemental, notamment le trouble du spectre de l'autisme (TSA) et la déficience intellec...",Santé / Développement enfants et familles,info@miriamfoundation.ca,514 345-8330 poste 996,miriamfoundation.ca/fr/accueil,Montréal
fondation palliami,Unité des soins palliatifs de l'Hôpital Notre-Dame. Soutien moral aux patient·e·s et à leur famille. Suivi de deuil. Ateliers pour personnes endeuillées en présentiel et en virtuel. Accompagnement des...,Santé / Soutien aux personnes vulnérables,lleblond@palliami.org,514 413-8777 poste 127434,palliami.org,Montréal
fondation voboc (la),Soutien aux adolescent·e·s et jeunes adultes atteints d'un cancer. Vo-Pak: sac à dos avec outils et ressources. Éducation et sensibilisation. Paniers des Fêtes pour les patients. Partenariats avec des...,Santé / Soutien aux personnes vulnérables,info@voboc.org,514 695-9292,voboc.org/fr,Montréal
forum des citoyens aînés de montréal,"Réunions d'information, colloques. Appels amicaux et visites amicales. Aide à la recherche de logement et guide pour personnes nouvellement arrivées. Alimentation: panier familial, cuisine collective ...",Santé / Bien Etre Alimentaire,info@fcam.ca,514 270-8464,,Montréal
frigo vert (le),"Espace communautaire et alimentaire anticapitaliste, anticolonial et anti-oppression au service des étudiants de l'Université Concordia et de la communauté montréalaise dans son ensemble. Café subvent...",Bien Etre Alimentaire / Développement communautaire,yesfrigo@gmail.com,438 387-7586,www.lefrigovert.org,Montréal
geipsi,Centre de jour. Soutien individuel et ponctuel. Intervention et références par téléphone. Accompagnement extérieur et aide pour les démarches et rencontres individuelles avec une intervenante. Entraid...,Santé / Soutien aux personnes vulnérables,info@geipsi.ca,514 523-0979,www.geipsi.ca,Montréal
gris-montréal,Démystification de la diversité sexuelle et de genre principalement en milieu scolaire. Information et sensibilisation. Orientation des personnes participantes vers les ressources pertinentes. Atelier...,Défense des droits / Éducation et formation,info@gris.ca,514 590-0016,www.gris.ca,Montréal
