nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
centre d'action bénévole de montréal-nord - clinique d'impôts,Clinique d'impôts sur rendez-vous.,Soutien aux personnes vulnérables / Autres missions sociales,info@cabmtl-nord.org,514 328-1114 poste 100,cabmtl-nord.org,Local
centre de soir denise-massé,"Lieu d'accueil et de réinsertion sociale en santé mentale. Accueil, écoute active, référence, soutien individuel et de groupe. Soutien et accompagnement des personnes participant à des programmes d'em...",Santé / Soutien aux personnes vulnérables,direction@denise-masse.org,514 525-8059,www.denise-masse.org,Local
centre des femmes interculturel claire,Services aux femmes cheffes de famille monoparentale ou issues de l'immigration. Alphabétisation et francisation. Intégration socio-professionnelle. Halte-garderie. Activités parent-enfants de 0 à 5 a...,Soutien aux personnes vulnérables / Éducation et formation,cflic@hotmail.ca,514 325-9116,,Local
centre naha,Programme de réinsertion sociale d'une durée de 9 à 12 mois avec hébergement et repas. Aide alimentaire. Implication dans la communauté.,Soutien aux personnes vulnérables / Bien Etre Alimentaire,centre@centrenaha.org,514 259-9962,centrenaha.org,Local
Chic Resto Pop,"1. Restaurant communautaire : lundi au vendredi, dîner 12h-13h30, souper 17h -18h30, 4,50$  enfants 6 ans 0$, 6-12 ans/femme enceinte 2,50$, ouvert à tous

2. Formation : sur inscription via site web, 6 mois rémunérés - service de la restauration, aide-cuisinier, aide-éducatrice, réception/livraison

3. Chic Plats : plats congelés, livraison gratuite à MTL 65$ et plus, ouvert de 9h à 18h30 

4. MIAM : 65 ans et +, livraison plats congelés et visites à domicile

5. Marché de fruits et légume: ouvert 10h à 18h30 lundi au vendredi

6. Milieu de vie : activités communautaires (mardi pm jeux de société, karaoké, conférences, etc), et services communautaires (bonhomme à lunette, écrivain public, etc)

7. Location de salle : 3 possibilités",Bien Etre Alimentaire / Développement communautaire,milieudevie@chicrestopop.com,(514) 521-4089,chicrestopop.com,Local
chic resto pop (le),Insertion socioprofessionnelle et sécurité alimentaire. Programme de formation et de développement de compétences selon la formule compagnon-apprenti. Trois métiers semi-spécialisés: aide-cuisinier·èr...,Emploi / Bien Etre Alimentaire,info@chicrestopop.com,514 521-4089 poste 0,chicrestopop.com,Local
Comité BAILS,"Le Comité  BAILS HM offre aux locataires du quartier des services gratuits incluant de l’information et l’aide concernant les droits des locataires. 

Nous offrons aussi de l’accompagnement pour présenter une demande de logement social ainsi que le soutien à la mobilisation dans une perspective de défense collective des droit des mal-logés. 

À travers l’éducation populaire et l’action collective, nous favorisons la mobilisation et la promotion du logement social comme solution à la crise du logement.",Défense des droits / Logement,info@comite-bails.org,514-522-1817,https://logement-hochelaga-maisonneuve.org/,Local
cuisine collective hochelaga-maisonneuve,Entreprise d'insertion et d'économie sociale. Cuisine collective. Traiteur. Marché Solidaire Hochelaga-Maisonneuve. La Collective: épicerie solidaire. Ferme agricole. Participation à divers plateaux d...,Bien Etre Alimentaire / Emploi,administration@lacchm.com,514 529-0789,lacchm.com,Local
CyberCap,CyberCap est un organisme à but non lucratif qui donne aux jeunes des opportunités d'éducation et d'insertion grâce aux technologies.,Éducation et formation / Emploi,info@cybercap.qc.ca,5148617700,https://cybercap.qc.ca/,Local
Dopamine,"Dopamine est un organisme communautaire situé dans le quartier Hochelaga- Maisonneuve qui, depuis 1994, a pour mandat d’accueillir, soutenir et accompagner les personnes consommant des drogues, leur entourage et la population en général du quartier et des secteurs environnants, dans un cadre de prévention du VIH/Sida, hépatites et autres ITSS (infections transmises sexuellement et par le sang).

Appliquer des stratégies d’intervention visant à atténuer les répercussions négatives et les préjudices associés au style de vie relié à la consommation de psychotropes ainsi qu’aux préjugés, mythes et représentations agissantes aux plans individuel, collectif et sociétal.",Soutien aux personnes vulnérables / Santé,info@dopamine.ca,514-251-8872,www.dopamine.ca,Local
Déclic,Déclic offre un soutien scolaire et en santé mentale personnalisé pour les 16 à 35 ans.,Santé / Éducation et formation,info@declic.ca,514-277-5559,https://www.declic.ca/,Local
Entre Mamans et Papas,"Dépannage vestimentaire et alimentaire (0-5 ans et femmes enceintes); relevailles à domicile; soutien psychosocial et sexologique; soutien aux familles nouvellement arrivées au pays;  halte-allaitement; location de tire-lait; répit occasionnel en journée;  activités parents-enfants; ateliers entre parents; activités entre pères; activités pères-enfants; cafés-rencontres, ateliers d'alimentation (purées, et cuisines familiales); sorties et fêtes.",Développement enfants et familles / Bien Etre Alimentaire,animation@entremamans.qc.ca,514-525-8884,https://entremamans.qc.ca/,Local
espace-famille villeray,"Centre de ressources périnatales et familiales. Halte-garderie. Soutien à domicile pour parents de nouveau-nés, relevailles. Halte-allaitement. Cours prénataux. Déjeuner-causerie hebdomadaire. Confére...",Développement enfants et familles,info@espacefamille.ca,514 858-1878,espacefamille.ca,Local
GCC La Violence,"Secteur Scolaire: Ateliers offerts dans les écoles du primaire et secondaire et organismes.  l’intervention par le théâtre et le jeu de rôle traitant de manière réaliste des problématiques pouvant être vécues par les jeunes. 
L'Apparte: est un centre d’intervention psychosociale au cœur des habitations HLM Hochelaga. En plus des activités, nous offrons des services d’écoute, de soutien, d’accompagnement, de référence.
Le Studio: Le Studio Jeunesse permet aux jeunes de 12 à 17 ans d’avoir un local à eux où ils peuvent se rencontrer, échanger et participer aux activités offertes par l’équipe sur place. Nous offrons l'accès a un gymnase pour pratiquer le basketball.
La Tour:  vise à intervenir auprès des aînés et aux personnes seules résidant soutien, écoute,  accompagnement, référencement.",Soutien aux personnes vulnérables / Développement enfants et familles,coordination@gcclaviolence.com,(514) 257–9028,https://gcclaviolence.com/,Local
HocheLégal,"HocheLégal est un OBNL juridique dont la mission est de favoriser l'accès à la justice dans l'arrondissement Mercier—Hochelaga-Maisonneuve, grâce à l'implication d'avocat.es et de juristes bénévoles. Pour concrétiser cette mission, trois services sont actuellement offerts à la population et aux OBNL de l'arrondissement: une clinique juridique mensuelle, des ateliers juridiques organisés ponctuellement et un service de jumelage pro bono.",Défense des droits,info@hochelegal.ca,,www.hochelegal.ca,Local
Interaction Famille H-M,"Interaction Famille H-M est un organisme communautaire du quartier Hochelaga-Maisonneuve qui offre un milieu de vie accueillant et inclusif pour les familles. Sa mission est de soutenir les parents et de favoriser l’épanouissement des enfants à travers des activités éducatives, sociales et communautaires. L’organisme propose une halte-répit pour les 0-5 ans, du soutien scolaire, de l’aide alimentaire, des ateliers de parentalité, de cuisine et de santé, des projets éducatifs estivaux et des ateliers sur la santé menstruelle. Il organise aussi des activités festives telles que la fête des Mères et la fête de fin d’année. Interaction Famille valorise la solidarité, l’inclusion et la participation active des familles.",Développement enfants et familles / Bien Etre Alimentaire,interventionfamille@interactionfamille.ca,514-2514671,https://interactionfamille.ca/,Local
"Je Passe Partout, Services de soutien scolaire et d'intervention familiale","- Soutien scolaire
- Soutien familial (visites à domicile)
- Des livres en visite (préparation à l'école)
- Camp pédagogique",Développement enfants et familles / Éducation et formation,information@jepassepartout.org,514-521-8235,https://jepassepartout.org/,Local
L'Anonyme U.I.M.,"L'Anonyme vise à promouvoir des comportements sécuritaires et des relations égalitaires ainsi qu'à prévenir la transmission des infections transmissibles sexuellement ou par le sang (ITSS) par une approche humaniste de proximité.

Aujourd'hui, nos quatre programmes; Intervention de proximité, Éducation à la sexualité, Sécurité urbaine et Logements répondent aux besoins croissants de la communauté montréalaise en offrant soutien, information, conseils, matériel de consommation et de protection, espaces sécuritaires de consommation, ateliers, formations, outils, ressources et chambres à haut seuil d'acceptabilité.",Santé / Soutien aux personnes vulnérables,administration@anonyme.ca,514-842-1488,www.anonyme.ca,Local
L'Avenue hébergement communautaire,"12 places d'hébergement court et moyen terme pour un séjour maximum de 6 mois pour les jeunes en situation d'itinérance ou à risque de le devenir. Accompagnement individuel dans les démarches personnelles, obtention d'un revenu, apprentissage des activités de la vie au quotidien (gestion du temps, apprentissages budgétaires, etc.), dépannage en attendant le 1er revenu, activités, etc.",Soutien aux personnes vulnérables / Logement,maison@lavenuehc.org,5142542244,www.lavenuehc.org,Local
L'Avenue hébergement communautaire,Logements transitoires: les Petites Avenues. Logements en colocation pouvant accueillir 4 usagers pour une période 1 année renouvelable. Nous avons 4 logements pour un total de 16 places. 2 logements de 4 pièces et demie pour des familles et 10 logements de 3 pièces et demie pour des personnes seules.,Logement / Soutien aux personnes vulnérables,maison@lavenuehc.org,5142542244,www.lavenuehc.org,Local
L'Avenue hébergement communautaire,8 logements sociaux avec soutien communautaire,Logement / Soutien aux personnes vulnérables,maison@lavenuehc.org,5142542244,www.lavenuehc.org,Local
L'Avenue hébergement communautaire,Logement social avec soutien communautaire,Logement / Soutien aux personnes vulnérables,maison@lavenuehc.org,5142542244,www.lavenuehc.org,Local
L'Avenue hébergement communautaire,Logement social avec soutien communautaire,Logement / Soutien aux personnes vulnérables,maison@lavenuehc.org,5142542244,www.lavenuehc.org,Local
L'Avenue hébergement communautaire,Logement social avec soutien communautaire,Logement / Soutien aux personnes vulnérables,maison@lavenuehc.org,5142542244,www.lavenuehc.org,Local
La Maison du Pharillon,Centre de traitement des dépendances avec hébergement pour hommes 18+,Soutien aux personnes vulnérables / Santé,direction@pharillon.org,5142548560,www.pharillon.org,Local
La Maison Orléans,"Groupe de partage
Accompagnement individuel
Cercle d'Entraide et de Responsabilité
Aide à l'employabilité : personne judiciarisé - fédéral ou personne immigrante",Soutien aux personnes vulnérables / Emploi,dginterimaire@maisonorleans.org,514-522-8373,https://maisonorleans.org/,Local
La Maison Tangente,"La Maison Tangente est un organisme communautaire qui offre de l’hébergement, de l’accompagnement et du soutien aux jeunes adultes en difficulté âgés de 18 à 25 ans.

L’hébergement constitue un milieu de vie sécuritaire, bienveillant et inclusif. Plus qu’un simple toit, nous proposons un accompagnement individuel et collectif afin de favoriser le développement de l’autonomie et la réinsertion sociale. 

Les personnes que nous accueillons doivent se mobiliser autour d’un projet de vie.

De plus, l’organisme propose des ateliers et des activités de groupe pour soutenir l’intégration et le développement personnel des résidents.",Soutien aux personnes vulnérables / Logement,info@maisontangente.qc.ca,5142528771,https://maisontangente.qc.ca/,Local
La Marie Debout - Centre de femmes Hochelaga-Maisonneuve,"La Marie Debout est un endroit accueillant, sécuritaire, inclusif et féministe qui offre aux personnes s’identifiant comme femmes des services, des activités éducatives et des actions collectives pour atteindre la justice sociale.

Services offerts: 

Intervention de soutien aux femmes dans une perspective féministe    
Accueil, écoute et référence    
Activités d'éducation populaire  
Ateliers de sensibilisation 
Action collective à travers des mobilisations",Défense des droits / Soutien aux personnes vulnérables,info@lamariedebout.org,514-597-2311,www.lamariedebout.org,Local
"La Ruelle d'Hochelaga, centre de pédiatrie sociale en communauté","La Ruelle d'Hochelaga est un centre de pédiatrie sociale en communauté. Son équipe de professionnels et de bénévoles soignent et accompagnent les enfants vivant dans des conditions de vie difficiles afin de leur donner les outils nécessaires pour qu’ils s’épanouissent et développent leur plein potentiel. Elle offre des services éducatifs, services psychosociaux, psychoéducatifs, thérapeutiques, d’accompagnements juridiques et des soins infirmiers. La Ruelle d'Hochelaga accueille 600 enfants par année",Santé / Développement enfants et familles,laruelle@pediatriesociale.org,438-792-7186,https://laruelledhochelaga.org/,Local
Le Boulot vers...,"Fort de ses 42 ans d’existence, Le Boulot vers… (LBV) a pour mission l’insertion sociale et professionnelle de jeunes en difficulté âgés de 16 à 29 ans afin de les aider à intégrer le marché du travail ou à retourner aux études en vue de bâtir un avenir meilleur.  À cette mission fondamentale se rattache une responsabilité économique : l’équipe du Boulot vers… maintient un atelier d’ébénisterie professionnel et assure une production de meubles de qualité et à utilité sociale (CPE, Centres d'hébergement pour personnes vulnérables, maison de transition, organismes communautaires, OBNL, etc.).  

Il offre un parcours d'insertion rémunéré en milieu de travail de 4 à 6 mois ainsi qu'un accompagnement individualisé psychosocial et socioprofessionnel en collaboration avec le milieu.",Emploi / Soutien aux personnes vulnérables,info@boulotvers.org,(514) 259-2312,www.boulotvers.org,Local
Le Tour de lire,Ateliers d'alphabétisation populaire,Éducation et formation,info@tourdelire.org,5142524718,https://www.tourdelire.org/,Local
Les Distributions l'Escalier,"Les Distributions l’Escalier offrent une formation rémunérée et une expérience de travail positive aux jeunes adultes âgé·e·s de 18 à 35 ans vivant des difficultés, et aux jeunes éloigné·e·s du marché du travail, en exploitant une entreprise d’insertion socioprofessionnelle.",Emploi / Soutien aux personnes vulnérables,info@lescalier.ca,(514) 529-5974,https://www.lescalier.ca/,Local
Les Habitations l'Escalier de Montréal,"La mission des Habitations l’Escalier de Montréal est de venir en aide aux jeunes adultes vivant des difficultés en les accompagnant dans le développement de leur pouvoir d’agir, en les responsabilisant et en travaillant à développer leur autonomie, dans une perspective d’affiliation sociale et d’insertion socioprofessionnelle.

L’Auberge du cœur l’Escalier offre et fournit aux jeunes adultes âgé·e·s entre 18 et 30 ans vivant des difficultés, aux jeunes en situation d’itinérance ou à risque de le devenir, aux jeunes chômeur·euse·s ou assisté·e·s sociaux, un hébergement et divers outils psychosociaux permettant de développer leur pouvoir d’agir.",Soutien aux personnes vulnérables / Logement,info@lescalier.ca,514-252-9886,https://www.lescalier.ca/,Local
maisonnée (la) - accueil - intégration - emploi,"Assistance matérielle Dépannage alimentaire régulier et d'urgence. Groupes d'achats.Emploi Ateliers de recherche d'emploi, rédaction de CV, suivi individuel, placement en stage et en emploi. Aide à la...",Emploi / Bien Etre Alimentaire,communication@lamaisonnee.org,514 271-3533,lamaisonnee.org/fr,Local
mission bon accueil - marché bon accueil de montréal-nord,"Distribution de nourriture, avec possibilité de livraison pour les personnes admissibles. Inscription en ligne: clients.missionba.com",Bien Etre Alimentaire / Soutien aux personnes vulnérables,marchebonaccueil@missionba.com,514 937-9317 poste 5,clients.missionba.com/login,Local
Nourri-Source Montréal,"Halte-allaitement chez Entre mamans et papas : 
En présence d'une consultante en lactation 
IBCLC, et des marraines, les parents pourront 
partager leur expérience en allaitement et poser leurs questions sur les défis rencontrés . 

Jasette allaitement au Carrefour Familial Hochelaga : 
Venez jaser de votre allaitement et tout autres sujets qui concerne la périnatalité avec nos marraines d'allaitement ! 

Jumelage avec une marraine d'allaitement :
Faire une demande de jumelage pour avoir le soutien téléphonique d'une marraine d'allaitement pour vivre une expérience positive de l'allaitement.

Prêt de tire-lait de grade hospitalier chez Entre mamans et papas. 

Atelier de préparation à l'allaitement : 
Conçus pour outiller les parents en prénatal.
En virtuel - Sur inscription",Développement enfants et familles / Santé,info@nourrisourcemontreal.org,514-948-5160,https://nourrisourcemontreal.org/,Local
option consommateurs,"Information et défense des droits en matière de consommation, crédit et endettement. Consultations budgétaires pour aider les consommateurs à équilibrer leur budget. Information juridique aux consomma...",Défense des droits / Soutien aux personnes vulnérables,info@option-consommateurs.org,1 888 412-1313,option-consommateurs.org,Local
parcours en santé mentale,Soutien aux personnes vivant des difficultés en santé mentale et leur famille. Aide et suivi par des pair·e·s aidant·e·s certifié·e·s.,Santé / Soutien aux personnes vulnérables,parcours.sm.montreal@gmail.com,438 506-7272,,Local
parole d'exclues,"Lutte contre la pauvreté et l'exclusion sociale par la mobilisation citoyenne. Mobilisation citoyenne et recherche-action sur des enjeux tels que le racisme, la santé mentale, l'aide alimentaire, l'ai...",Développement communautaire / Défense des droits,communications@parole-dexclues.ca,514 759-0726,www.parole-dexclues.ca,Local
Passages - volet logement,"Soutien communautaire en logement social pour toutes personnes s'identifiant comme femmes, en difficulté et âgées entre 18 et 30 ans",Logement / Soutien aux personnes vulnérables,intervenanteslogements@passagesmtl.org,5142566952,www.passagesmtl.org,Local
Pavillon d'éducation communautaire Hochelaga-Maisonneuve,"Atelier d'éducation populaire (référence site web)
-service de halte-garderie éducative
-centre informatique (formation) et accès libre)
-FabLab
-distribution alimentaire
-réservation de salle",Développement communautaire / Éducation et formation,info@pechm.org,514-596-4488,pechm.org,Local
perspectives jeunesse,"Lutte au décrochage scolaire. Plan C volet d'accompagnement individuel: soutien, socialisation et mise en action des jeunes décrocheurs dans une perspective de retour à l'école ou d'insertion sur le m...",Éducation et formation / Développement enfants et familles,direction@perspectivesjeunesse.org,514 303-0599,perspectivesjeunesse.org,Local
projaide,Banque alimentaire. Cuisine communautaire pour personnes aînées et nouvelles arrivantes. Nourrissons nos personnes aînées: livraison de paniers de nourriture sur une base hebdomadaire. Sécurité Alimen...,Bien Etre Alimentaire / Développement communautaire,info@projaide.com,438 501-7227,projaide.com,Local
projets autochtones du québec - halte-chaleur,"Halte-chaleur pour les personnes autochtones. Nourriture, buanderie, activités de loisir et soutien. Navette disponible pour s'y rendre ou pour retourner au centre-ville.",Soutien aux personnes vulnérables / Bien Etre Alimentaire,info@paqc.org,,,Local
Pères Séparés Inc,"- Aide et référence par téléphone ou par ZOOM
- Groupes de soutien hebdomadaires entre pères : C'est une opportunité de briser l'isolement, de rencontrer et de partager avec d'autres pères qui vivent la même situation. Cela s'inscrit dans une approche de deuil.
- Rencontres - accompagnement individuel : La première rencontre se déroule à titre exploratoire afin de vérifier si les services offerts répondent adéquatement aux besoins du père. Par la suite, on établira un plan d'action.
- Information et cliniques juridiques : Ce service est donné exclusivement à nos membres qui sont accompagné dans l'esprit de la co-parentalité. À noter que nous ne référons pas d'avocats, de notaires ou de médiateurs.
- Ateliers et conférences",Soutien aux personnes vulnérables / Défense des droits,psi@peres-separes.qc.ca,514-254-6120,https://www.peres-separes.qc.ca/,Local
relevailles de montréal (les) - centre de ressources périnatales,"Soutien individuel. Rencontres prénatales et postnatales. Yoga prénatal et postnatal. Cours: massage pour bébé, portage de bébé, prénataux. Ateliers: stimulation et éveil, sommeil de bébé",Développement enfants et familles,crp@relevailles.com,514 640-6741,relevailles.com,Local
Revdec,"Revdec lutte contre le décrochage scolaire et social des adolescents.  L'organisme offre une alternative de l'école aux jeunes de 12 à 16 ans à risque de décrochage scolaire ou n'allant plus à l'école. L'organisme offre un milieu de vie chaleureux à ces adolescents vivant des difficultés scolaires, personnelles ou sociales importantes les empêchant de fonctionner au sein de leur école. L'objectif est de faire vivre aux jeunes des succès, de leur apprendre à mieux se connaitre et de maintenir un rythme de vie et des relations sociales. Tout cela dans le but de retourner dans le réseau scolaire dans les meilleures conditions.",Éducation et formation / Développement enfants et familles,admin@revdec.org,5142590634,www.revdec.org,Local
Répit Providence,"Répit Providence a pour mission de protéger la petite enfance et de prévenir l’épuisement parental, la négligence, les abus, la violence et le placement des enfants.

Nous remplissons cette mission en soutenant les parents en situation de vulnérabilité et en offrant des séjours de répit-hébergement gratuits pour les enfants âgés de 0 à 11 ans.  Nous proposons des ateliers de pratiques parentales positives ainsi qu'une vie associative riche pour nos membres. Du soutien alimentaire d'urgence est également disponible pour toute famille en faisant la demande.

Nous travaillons en partenariat avec les travailleurs sociaux et intervenants des établissements et organismes œuvrant auprès des enfants et de leur famille.",Développement enfants et familles / Soutien aux personnes vulnérables,liaison@repitprovidence.com,(514) 254-3170,https://www.repitprovidence.com/fr,Local
Réseau Habitation Femmes,"Logements permanent subventionnés pour femmes à risque d'itinérance. 
Logement pour personne autonome avec soutien léger.",Logement / Soutien aux personnes vulnérables,info@reseauhabitationfemmes.org,5148759529,https://www.reseauhabitationfemmes.org/,Local
Résolidaire,"Résolidaire - Centre de services et d’activités pour les aîné.e.s d’Hochelaga-Maisonneuve est un organisme communautaire qui a pour mission de favoriser l’autonomie et le maintien dans la communauté des aîné.e.s et de soutenir ceux-ci dans la prise en charge de leur propre vieillesse. 

Parmi les services offerts, on trouve notamment une popote roulante, de l’accompagnement-transport pour les rendez-vous médicaux, du transport pour les courses et une intervenante de milieu. De nombreuses activités de loisir et de socialisation y sont aussi proposées.",Santé / Bien Etre Alimentaire,dg@resolidaire.org,514-598-9670,www.resolidaire.com,Local
Services communautaires Cyprès,"Offrir un suivi individuel, communautaire et alternatif à des personnes vivant avec des enjeux de santé mentale, dans leur milieu de vie.",Santé / Soutien aux personnes vulnérables,info@cypres.ca,514-252-0444,www.cypres.ca,Local
Transit-Jeunesse,"Soutien psychosocial pour les jeunes adultes de 18 ans et 25 ans afin de favoriser l'estime de soi et l'autonomie. 
Rencontre individuelle et ateliers de groupe
Aide à la transition à la vie adulte
Référencement",Soutien aux personnes vulnérables / Développement enfants et familles,info@transitjeunesse.org,5145287768,www.transitjeunesse.org,Local
