nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
alliance autochtone du québec,"Promotion et représentation des intérêts des personnes autochtones, Métis Ou Inuit statuées et non-statuées, vivant en dehors des réserves dans la province de Québec. Service d'intervention sociale et...",Défense des droits / Autres missions sociales,siteweb@aaqnaq.com,819 770-7763,aaqnaq.com,Provincial
alliance des communautés culturelles pour l'égalité dans la santé et les services sociaux,Coalition d'organismes communautaires oeuvrant auprès des personnes des communautés culturelles dans le domaine de la santé et des services sociaux. Promotion de l,Santé / Défense des droits,accesss@accesss.net,514 287-1106,accesss.net/fr,Provincial
alliance des maisons d'hébergement de 2e étape pour femmes et enfants victimes de violence conjugale,Regroupement des maisons d'hébergement de deuxième étape spécialisés en violence conjugale postséparation par l'entremise de logements transitoires sécu,Soutien aux personnes vulnérables / Logement,info@alliancemh2.org,1 800 363-9010,www.alliancemh2.org,Provincial
alter justice,"Aide et information aux personnes judiciarisées. Services pardon: information, soutien et accompagnement concernant le processus de suspension du casier judiciaire et la non-communication de renseigne...",Défense des droits / Soutien aux personnes vulnérables,info@alterjustice.org,1 833 529-9031,alterjustice.org,Provincial
alterhéros,"Programme Pose ta question: soutien confidentiel en ligne relié à l'orientation sexuelle, l'identité de genre, l'expression de genre, la sexualité, les relations amoureuses ou la neurodiversité. Progr...",Soutien aux personnes vulnérables / Santé,info@alterheros.com,,alterheros.com,Provincial
andy's house treatment centre,Centre de thérapie interne et externe à durée variable.Programme interne de 3 mois: Programme distinct pour les dépendances aux substances. Groupe de soutien familial. Suivi post-thérapie de 2 ans.Pro...,Soutien aux personnes vulnérables / Santé,info@andyshouse.com,514 738-2639,www.andyshouse.com,Provincial
aneb - anorexie et boulimie québec,"Ligne d'écoute et de référence. Groupe de soutien ouvert. Groupe de soutien fermé de 8 à 15 semaines. Service de message texte. Clavardage. Conférences, kiosques et formation. Balado pour les proches....",Santé / Soutien aux personnes vulnérables,info@anebquebec.com,514 630-0907,anebquebec.com,Provincial
appui proches aidants,"Info-aidant: service d'écoute, d'information et de références par téléphone et par clavardage. Financement de projets auprès des organismes qui fournissent des services aux proches aidant·e·s.",Santé,info@lappui.org,514 789-2460,www.lappui.org/fr,Provincial
areq (csq),Défense des droits des membres. Information et ressources sur le retour au travail. Liste d'offres d'emploi. Assurance collective.,Défense des droits / Emploi,info@areq.lacsq.org,418 525-0611,areq.lacsq.org,Provincial
armée du salut - centre booth - l'ancrage / delta,"Centre de réadaptation.Programme de thérapie L'Ancrage Durée 6 mois. 21 premiers jours fermés, puis sorties progressives. Évaluation, orientation et soutien thérapeutique. Hébergement: chambre individ...",Santé / Soutien aux personnes vulnérables,Harout.Tarakjian@salvationarmy.ca,514 932-2214,centreboothmontreal.ca/ancragedelta,Provincial
armée du salut - service d'urgence et d'aide aux sinistrés,"Aide lors de catastrophes naturelles (inondations, incendies, tempêtes). Aide alimentaire. Aide matérielle: vêtements, kits d'hygiène, couvertures, etc. Mettre en place des abris temporaires et",Soutien aux personnes vulnérables / Bien Etre Alimentaire,anais.lemoine@armeedusalut.ca,514 809-2522,salvationarmy.ca/quebec/?lang=fr,Provincial
assistance aux femmes de montréal,Maison d'hébergement pour femmes victimes de violence conjugale. Hébergement de trois à cinq semaines. Intervention et suivi. Consultation téléphonique et accompagnement. Intervention auprès des enfan...,Soutien aux personnes vulnérables / Développement enfants et familles,information@assistanceauxfemmes.ca,1 800 865-8291,assistanceauxfemmes.ca,Provincial
association bégaiement communication,"Soutien aux adultes qui bégaient et sensibilisation de la population générale au bégaiement. Groupes de soutien en ligne et en personne. Thérapie pour les adultes qui bégaient. Conférences, événements...",Santé / Soutien aux personnes vulnérables,info@abcbegaiement.com,514 273-1427,abcbegaiement.com,Provincial
association canadienne pour la santé mentale - division du québec,Promotion et prévention en santé mentale. Information générale sur les maladies mentales. Programme d'autosoins avec accompagnement Retrouver son entrain: retrouversonentrainqc.ca Évaluez,Santé,info@acsm.qc.ca,1 844 657-2106,quebec.acsm.ca,Provincial
association d'anémie falciforme du québec,"Groupe de soutien mensuel, en alternance entre les groupes de parents et de jeunes adultes vivant avec l'anémie falciforme. Camp de répit familial. Ateliers d'information et colloques. Activités socia...",Santé / Soutien aux personnes vulnérables,info@aafq.org,514 507-0891,anemie-falciforme.org,Provincial
association de la neurofibromatose du québec (l'),Activités de sensibilisation à la neurofibromatose. Activités familiales. Soutien aux personnes atteintes et à leur famille par téléphone ou courriel. Accès à de la documentation médicale. Accès à des...,Santé / Soutien aux personnes vulnérables,anfq@anfq.org,514 385-6702,anfq.ca,Provincial
association de paralysie cérébrale du québec,Promotion de l'intégration et de l'amélioration de la qualité de vie des gens vivant avec la paralysie cérébrale. Information et orientation. Aide financière de dépannage. Défense des droits. Avanceme...,Santé / Défense des droits,info@paralysiecerebrale.com,1 800 311-3770,paralysiecerebrale.com,Provincial
association de spina-bifida et d'hydrocéphalie du québec,"Favoriser, promouvoir et défendre les droits, les intérêts et le bien-être des personnes vivant avec le spina-bifida et l'hydrocéphalie. Documentation: services de consultation et de références,",Santé / Défense des droits,info@spina.qc.ca,1 800 567-1788,www.spina.qc.ca,Provincial
association des centres d'écoute téléphonique du québec (l'),Regroupement et soutien des centres d'écoute téléphonique anonymes et confidentiels. Promotion. Représentation. Liste des centres d'écoute: www.lignedecoute.ca/centres-decoute-telephonique-par,Soutien aux personnes vulnérables / Santé,administration@lignedecoute.ca,418 928-9004,www.lignedecoute.ca,Provincial
association des consommateurs pour la qualité dans la construction,Association de consommateur·ice·s dans le marché de la construction et de la rénovation résidentielle. Information et défense des droits. Appui dans les démarches et recours collectifs.,Défense des droits,info@acqc.ca,1 877 624-7667,www.acqc.ca,Provincial
association des familles de personnes assassinées ou disparues,"Rencontre des nouveaux membres et remise d'une trousse d'information. Groupe de soutien, déjeuners-causeries, rencontres et suivis individuels à travers le Québec. Conférences et ateliers s",Soutien aux personnes vulnérables / Défense des droits,administration@afpad.ca,1 877 484-0404,afpad.ca,Provincial
association des femmes inuit du nunavik saturviit,"Organisation à but non lucratif représentant et donnant une voix à toutes les femmes inuites, du Nunavik, âgées de 16 ans et plus. Centre des femmes situé à Dorval. Programmes et activités pour femmes...",Défense des droits / Développement communautaire,info@saturviit.ca,1 866 944-5003,saturviit.ca,Provincial
association des grands-parents du québec,"Défense des droits des grands-parents du Québec. Écoute téléphonique et référence. Groupes d'entraide. Cafés-rencontres. Conférences. Séances d'informations générales, juridiques et psychologiques.",Défense des droits / Santé,adgpq@grands-parents.qc.ca,1 866 745-6110,www.grands-parents.qc.ca,Provincial
association des groupes de ressources techniques du québec,Recherche et partage d'une expertise alternative sur les questions de développement de projets d'habitation coopératifs ou sans but lucratif par les ménages à faible et modeste revenu. Coalition,Logement / Développement communautaire,agrtq@agrtq.qc.ca,1 888 849-8547,agrtq.qc.ca,Provincial
association des infirmières et infirmiers en soins podologiques du québec,Regroupement d'infirmiers et d'infirmières en soins podologiques. Promotion de la profession et maintien de la qualité des services. Bottin des membres infirmiers et infirmières e,Santé / Éducation et formation,info@aiispq.org,,aiispq.org,Provincial
association des intervenants en dépendance du québec,"Réseau provincial visant au soutien et à l'évolution des pratiques d'interventions liées à la dépendance. Soutien à l'intervention dans la prévention, la réduction des méfaits, le traitement et la réi",Santé / Soutien aux personnes vulnérables,info@aidq.org,514 287-9625,www.aidq.org/fr,Provincial
association des inuits du sud du québec,"Représentation, défense des intérêts et soutien communautaire aux Inuits du Sud du Québec. Promotion du développement culturel, communautaire, social et économique des Inuits du Sud du Québec. Informa...",Défense des droits / Développement communautaire,sqiafrontdesk@gmail.com,514 932-5267,,Provincial
association des jeunes bègues du québec,Sensibilisation et information sur le bégaiement. Référence en orthophonie. Formation pour les éducatrices. Camps thérapeutiques annuels.,Santé / Développement enfants et familles,info@ajbq.qc.ca,518 748-2286,www.ajbq.qc.ca/fr/,Provincial
association des médiateurs familiaux du québec,Information sur la médiation familiale. Répertoire des médiateurs familiaux: www.mediationquebec.ca/repertoire/recherche_avancee Services aux médiateurs familiaux accrédités ou en voie d'accréditation...,Défense des droits / Santé,info@mediationquebec.ca,514 990-4011,www.mediationquebec.ca,Provincial
association des parents adoptants du québec,"Soutien pré et post-adoption et soutien en ligne. Rencontres sous forme de groupe de soutien et conférences, 3 fois par an ou plus. Conférences en ligne. Documentation et information. Sorties familial...",Développement enfants et familles / Soutien aux personnes vulnérables,info@parentsadoptants.org,514 990-9144,https://parentsadoptants.org/,Provincial
association des services de réhabilitation sociale du québec,Regroupement d'organismes offrant des services aux personnes ayant ou ayant eu des démêlés avec la justice. Programmes de recherche. Sensibilisation du public. Prévention du crime. Formation.,Défense des droits / Autres missions sociales,info@asrsq.ca,514 521-3733,asrsq.ca,Provincial
association des thérapeutes en relation d'aide en accompagnement du deuil,"Regroupement de thérapeutes en relation d'aide spécialisés en accompagnement du deuil.Services pour personnes endeuillées Accompagnement individuel, de couple et familial. Groupes",Santé / Soutien aux personnes vulnérables,atraad.org@gmail.com,1 866 338-4575,atraad.org,Provincial
association des travailleurs et travailleuses de rue du québec (l'),"Promotion, développement et reconnaissance de la pratique du travail de rue. Lieu d'échange et de rencontre. Défense des droits et des intérêts. Soutien. Collaboration avec d'autres org",Défense des droits / Soutien aux personnes vulnérables,info@attrueq.ca,514 575-0300,attrueq.ca,Provincial
"association du syndrome de sjögren, sjögren québec",Groupe de soutien pour les personnes vivant avec le syndrome de Sjögren. Information pour les patient·e·s et leur famille.,Santé / Soutien aux personnes vulnérables,sjogrenquebec@gmail.com,1 877 934-3666,sjogren.ca,Provincial
association du syndrome de usher du québec,"Groupe d'entraide. Sensibilisation et défense des droits et intérêts, notamment dans le secteur du transport adapté. Accompagnement, interprétation tactile (par le toucher et le mouvement des mains) e...",Santé / Défense des droits,info@asuq.info,450 231-0789,asuq.info,Provincial
association féministe d'éducation et d'action sociale,"Information, action sociale et promotion de questions de condition féminine. Défense des intérêts et représentation.",Défense des droits / Éducation et formation,info@afeas.qc.ca,514 251-1636,afeas.qc.ca,Provincial
association générale des insuffisants rénaux,"Information, soutien et références par téléphone ou sur place. Groupes d'entraide et de soutien mensuels pour les personnes et leurs proches. Comité d'aide aux nouvelles·aux patient·e·s. Guichet uniqu...",Santé / Soutien aux personnes vulnérables,reins@agir.ca,1 888 852-9297,www.agir.ca,Provincial
association humaniste du québec,Promotion de la pensée critique et des valeurs humanistes et laïques. Centre de documentation. Conférences.? Ciné-club. Soirées conviviales et évènements.,Autres missions sociales / Éducation et formation,assohum@gmail.com,514 307-1653,assohum.org,Provincial
association infertilité québec,Représentation et promotion des intérêts des couples infertiles. Information et référence concernant l'infertilité et l'adoption. Jumelage entre personnes vivant des expériences communes relatives à l...,Santé / Défense des droits,info@infertilite.ca,,www.infertilite.ca,Provincial
association multiethnique pour l'intégration des personnes handicapées du québec,"Intégration et inclusion des personnes immigrantes vivant avec un handicap. Intégration: orientation, accompagnement, référence, aide à l'autonomisation, à l'intégration so",Autres missions sociales / Soutien aux personnes vulnérables,direction@ameiph.com,514 272-0680,ameiph.com,Provincial
association polio québec,Information et référence. Sensibilisation et prévention. Soutien. Défense des droits.,Santé / Défense des droits,association@polioquebec.org,1 877 765-4672,polioquebec.org,Provincial
association pour la défense des personnes et biens sous curatelle publique,"Information, documentation juridique et référence. Aide à remplir les formulaires et à rédiger des lettres. Accompagnement et soutien. Surveillance de la curatelle publique. Gro",Défense des droits / Santé,curabec@outlook.com,,adpbc.org,Provincial
association pulmonaire du québec,Prévention des maladies respiratoires. Soutien à la recherche scientifique et programme d'éducation. Service de vaccination antigrippale et antipneumococcique. Ligne téléphonique d'informations sur la...,Santé / Éducation et formation,info@pounonquebec.ca,1 888 768-6669,poumonquebec.ca,Provincial
association québécoise de défense des droits des personnes retraitées et préretraitées,"Défense des droits des personnes de 50 ans et plus afin d'améliorer leurs conditions de vie concernant le revenu, le logement, les services à domicile, le transport e",Défense des droits / Santé,info@aqdr.org,1 877 935-1551 poste 0,www.aqdr.org,Provincial
association québécoise de l'encéphalomyélite myalgique,Information et sensibilisation du public et du milieu de la santé. Promotion de la recherche. Groupe d'entraide.,Santé / Soutien aux personnes vulnérables,info@aqem.org,1 855 369-0386,aqem.org,Provincial
association québécoise de l'épilepsie,Soutien aux organismes de bénévoles pouvant aider les personnes épileptiques. Soutien aux communications et à la documentation écrite concernant l'épilepsie. Sensibilisation du public par la diffusion...,Santé / Soutien aux personnes vulnérables,info@aqepilepsie.org,1 833 875-5595,www.associationquebecoiseepilepsie.com,Provincial
association québécoise de la douleur chronique,"Améliore la qualité de vie des personnes qui vivent avec la douleur chronique et de leurs proches aidant·e·s. Ligne d'écoute. Groupes d'entraide en présentiel et en virtuel. Conférences, documentation...",Santé / Soutien aux personnes vulnérables,aqdc@douleurquebec.ca,1 855 230-4198,douleurquebec.ca,Provincial
association québécoise de la dégénérescence maculaire,"Regroupement des personnes vivant avec une dégénérescence maculaire. Réseau d'entraide téléphonique. Information et références vers les ressources médicales, technologiques et socioculturelles exista",Santé / Soutien aux personnes vulnérables,info@aqdm.org,1 866 867-9389,aqdm.org,Provincial
association québécoise de la maladie de lyme,"Sensibilisation, prévention et soutien aux personnes vivant avec la maladie de Lyme et ses co-infections. Soutien l'accès aux services: prévention, dépistage, diagnostic, traitement et soutien. Soutie...",Santé / Soutien aux personnes vulnérables,info@aqml.ca,,aqml.ca,Provincial
association québécoise de prévention du suicide,"Prévention du suicide. Intervention par clavardage et par texto en prévention du suicide: suicide.ca Développement de contenus de formation pour les intervenant·e·s, les professionnel·le·s et les cito...",Santé / Soutien aux personnes vulnérables,reception@aqps.info,418 614-5909,aqps.info,Provincial
association québécoise de soins palliatifs,Promotion des soins palliatifs. Formations et évènements. Bottin de ressources en ligne.,Santé,info@aqsp.org,514 826-9400,www.aqsp.org,Provincial
association québécoise des centres d'intervention en dépendance,Association regroupant plusieurs organismes communautaires oeuvrant en dépendance. Interlocuteur et partenaire du réseau public dans la prestation de services en dépendances et usage de sub,Santé / Soutien aux personnes vulnérables,info@aqcid.com,819 299-6151,aqcid.com,Provincial
association québécoise des laryngectomisés,"Information par téléphone, en ligne ou en personne. Visites aux futur·e·s opéré·e·s dans les hôpitaux. Entraide et rencontres sociales. Documentation. Colloques.",Santé / Soutien aux personnes vulnérables,info@aqlar.org,1 844 285-2335,aqlar.org,Provincial
association québécoise des parents d'enfants handicapés visuels,Référence téléphonique. Intervention et soutien. Journées d'échange: conférences et ateliers. Groupes de soutien. Production de documents spécialisés.,Santé / Développement enfants et familles,info@aqpehv.qc.ca,1 888 849-8729,www.aqpehv.qc.ca,Provincial
association québécoise des personnes de petite taille,Information et soutien aux personnes et à leurs parents. Groupe de soutien. Conseils pour adaptations et aide technique. Défense et promotion des droits. Activités sociales. Publication de documents,Santé / Défense des droits,info@aqppt.org,514 521-9671,aqppt.org,Provincial
association québécoise des retraité(e)s des secteurs public et parapublic,Groupes d'échanges de l'AQRP. Service Mieux-être: support et référence par téléphone ou courriel. Conférences et formation en ligne. Défense et promotion des droits et des intérê,Défense des droits / Santé,info@aqrp.ca,1 800 653-2747,www.aqrp.ca,Provincial
association québécoise du lymphoedème,"Sensibilisation, éducation et information. Soutien thérapeutique: écoute, conseil et référence. Groupe d'éducation et d'entraide mensuel, avec présence de spécialistes invités (un mois en français, l'...",Santé / Soutien aux personnes vulnérables,aql@infolympho.ca,1 866 979-2463,infolympho.ca,Provincial
association québécoise du syndrome de la tourette,Soutien et activités pour les personnes touchées par le syndrome de la Tourette. Soutien par téléphone et par courriel. Groupe de soutien et de partage pour les parents et les adolescents vivant avec ...,Santé / Soutien aux personnes vulnérables,info@aqst.com,514 588-7797,aqst.com,Provincial
association québécoise du syndrome de rett,"Information et soutien. Promotion, sensibilisation et défense des droits. Activités sociales.",Santé / Défense des droits,info@rettqc.org,438 870-0812,www.rettqc.org,Provincial
association québécoise plaidoyer-victimes,"Promotion et défense des droits et intérêts des victimes d'actes criminels. Information, soutien et orientation des victimes. Production et diffusion d'outils d'information. Programmes de formation. A...",Défense des droits / Soutien aux personnes vulnérables,aqpv@aqpv.ca,514 526-9037,aqpv.ca,Provincial
association québécoise pour l'équité et l'inclusion au postsecondaire (l'),"Défense collective des droits et promotion des intérêts des personnes étudiantes en situation de handicap. Information aux membres, aux parents et aux personnes-ressources du do",Défense des droits / Éducation et formation,info@aqeips.org,1 866 959-9451,aqeips.org,Provincial
association québécoise pour la promotion de la santé des personnes utilisatrices de drogues,Sensibilisation de la population et des instances institutionnelles et communautaires sur les moyens d'améliorer les conditions de vie des personnes utilisatric,Santé / Soutien aux personnes vulnérables,info@aqpsud.org,514 904-1241,aqpsud.org,Provincial
association québécoise pour la réadaptation psychosociale,"Regroupement d'acteur·trice·s et d'organismes engagés dans la réadaptation psychosociale et le rétablissement de personnes vivant ou ayant vécu un problème de santé mentale. Formations diverses,",Santé / Éducation et formation,admin@aqrp-sm.org,418 523-4190,aqrp-sm.org,Provincial
association québécoise pour le droit de mourir dans la dignité,"Milite pour le droit à mourir dans la dignité et informe sur les différents soins de fin de vie, de l'aide médicale à mourir aux soins palliatifs. Information et documentation sur les direct",Défense des droits / Santé,info@aqdmd.org,514 341-4017,aqdmd.org,Provincial
atelier paysan (l'),"Ferme urbaine et lieu de production maraîchère visant l'intégration sociale. Volet employabilité d'apprenti·e·s jardinier·ère·s: développement des compétences liées à des métiers semi-spécialisés, des...",Emploi / Santé,accueil@latelierpaysan.ca,,www.latelierpaysan.ca,Provincial
au bas de l'échelle,Expertise sur les lois encadrant le travail au Québec pour les travailleur·euse·s non syndiqué·e·s. Information juridique gratuite et confidentielle par téléphone sur les droits et recours concernant ...,Défense des droits / Emploi,administration@aubasdelechelle.ca,514 270-7878,www.aubasdelechelle.ca,Provincial
au coeur des familles agricoles,"Soutien, information et références. Concertation adaptée à la réalité agricole. Suivis auprès des agences et services communautaires. Ligne d'aide. Prévention en santé mentale. Sensibilisation du publ...",Santé / Soutien aux personnes vulnérables,acfa@acfareseaux.qc.ca,450 768-6995,acfareseaux.qc.ca,Provincial
auberge du coeur le foyer,"Réinsertion sociale avec hébergement d'une durée d'un an. Auberge du coeur: chambres individuelles meublées à coût modique, incluant un poêle, un réfrigérateur, le chauffage, l'électricité et une conn...",Soutien aux personnes vulnérables / Logement,info@aubergelefoyer.ca,514 522-3198,aubergelefoyer.ca,Provincial
auberge sous mon toit,"Centre résidentiel communautaire.Hébergement Chambre individuelle avec un accès à Internet, à un téléphone et à la climatisation. Repas. Relation d'aide. Buanderie gratuite. Activités socioculturelles...",Soutien aux personnes vulnérables / Logement,auberge@aubergesousmontoit.com,450 378-4269,aubergesousmontoit.org,Provincial
audition québec,"Information et référence pour les personnes adultes malentendantes ou devenues sourdes, les membres de leur entourage et toutes les personnes avec qui elles sont en interaction. Développement d'outils...",Santé,info@auditionquebec.org,1 888 665-1050,auditionquebec.org,Provincial
autisme soutien,Soutien par et pour les personnes autistes. Soutien par clavardage. Activités éducatives à visée neuroaffirmative. Occasion de bénévolat.,Santé / Soutien aux personnes vulnérables,info@autismesoutien.ca,,autismesoutien.ca,Provincial
autismopolis,Projet de préparation à l'emploi d'une durée de 14 à 52 semaines. Activités de socialisation pour les 13 ans et plus.,Emploi / Soutien aux personnes vulnérables,administration@autismopolis.com,450 895-1470,autismopolis.com,Provincial
aînés action québec (les),Promotion des intérêts des personnes aînées anglophones. Information et références. Promotion de l'accès à l'information. Promotion et développement du leadership chez les personnes aînées. Défense de...,Santé / Défense des droits,info@seniorsactionquebec.ca,514 505-0977,www.seniorsactionquebec.ca/fr,Provincial
baluchon répit long terme,Répit et soutien à domicile pour les proches aidant·e·s qui prennent soin d'un proche non autonome à domicile. Durée de 4 à 14 jours. Accompagnement des personnes en fin de vie et de leurs proches aid...,Santé / Soutien aux personnes vulnérables,info@baluchonrepit.com,514 762-2667,www.baluchonrepit.com,Provincial
banques alimentaires du québec (les),Regroupement provincial d'organismes d'aide alimentaire. Réseau efficace et solidaire qui achemine et valorise les dons de nourriture vers les personnes qui en ont le plus besoin à travers tout le Qué...,Bien Etre Alimentaire,info@banquesalimentaires.org,1 877 478-4040,banquesalimentaires.org,Provincial
biblio-santé,Service d'information qui propose des ressources sur des maladies et sujets touchant les personnes usagères du système de santé et leurs proches. 16 cahiers thématiques sur divers sujets et maladies. ...,Santé / Soutien aux personnes vulnérables,bibliosante@abpq.ca,,bibliosante.ca,Provincial
bikers against child abuse,"Association de motocyclistes fournissant du soutien aux enfants victimes d'abus. Soutien général et accompagnement pour enfants victimes d'abus dans le besoin. Ligne d'aide 24 heures, 7 jours. Rencont...",Soutien aux personnes vulnérables,info@mo-can.bacaworld.org,438 794-6200,bacaworld.org,Provincial
bouée régionale (la),"Aide pour femmes victimes de violence. Information et références. Consultation individuelle avec ou sans hébergement. Hébergement: durée de trois mois, suivi posthébergement. Intervention avec accompa...",Soutien aux personnes vulnérables,info@labouee.com,819 583-1233,labouee.com,Provincial
