nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
communauté vietnamienne au canada - région montréal,Services de références et d'accompagnement dans la démarche d'intégration pour les personnes de la communauté vietnamienne. Information et références. Accompagnement dans la recherche d'emploi. Cours ...,Autres missions sociales / Emploi,communaute.viet.montreal@gmail.com,514 340-9630,communautevietmontreal.com,Grand Montréal
compagnons de montréal,"Milieux de vie, d'apprentissages et d'inclusion pour adultes vivant avec une déficience intellectuelle ou pour adultes autistes. Hébergement. Centre d'activités de jour. Formation socioprofessionnelle...",Santé / Emploi,info@compagnonsdemontreal.com,514 727-4444,www.compagnonsdemontreal.com,Grand Montréal
conseil des éducateurs noirs du québec,"Soutien académique Programme de tutorat virtuel pour élèves du primaire ou secondaire tout au long de l'année scolaire. Soutien académique en ligne dans le domaine de la formation continue, des mathém...",Éducation et formation / Développement enfants et familles,info@qbbe.ca,514 481-9400,qbbe.ca/fr,Grand Montréal
corporation d'éducation jeunesse,"Organisme de formation, d'intervention de milieu, d'accompagnement, de soutien et d'activités pour les jeunes et les familles. Évasion familiale: séjour en nature d'une fin de semaine offrant animatio...",Développement enfants et familles / Soutien aux personnes vulnérables,direction@corpoeducjeunesse.org,514 872-2696,corpoeducjeunesse.org,Grand Montréal
corporation l'espoir,Accueil et références. Soutien aux parents. Promotion et défense des droits. Soutien aux personnes vivant avec une déficience intellectuelle ou un trouble du spectre de l'autisme. Programmes d'intégra...,Santé / Défense des droits,info@espoir.org,514 367-3757,www.corporationespoir.org,Grand Montréal
cybercap,Intégration socioprofessionnelle et prévention du décrochage scolaire par la technologie numérique. Activités d'information sur les technologies de l'information et de la communication (TIC). Ateliers...,Emploi / Éducation et formation,info@cybercap.qc.ca,514 861-7700,www.cybercap.qc.ca,Grand Montréal
desta réseau de la jeunesse noire,Soutien aux jeunes adultes issus de la communauté noire. Information et référence. Prévention du décrochage scolaire. Cours d'éducation à distance subventionnés. Programme d'employabilité: orientation...,Éducation et formation / Emploi,support@destabyn.org,514 664-5042,destabyn.org,Grand Montréal
diogène suivi communautaire,"Accompagnement dans les démarches médicales, financières et de logement, recherche de papiers d'identité et autres. Service de fiducie. Information, orientation et accompagnement à la cour municipale ...",Santé / Soutien aux personnes vulnérables,info@diogeneqc.org,514 874-1214,www.diogeneqc.org,Grand Montréal
distributions l'escalier (les),Entreprise d'insertion en emploi spécialisée dans la vente et la distribution d'aliments fins québécois. Ateliers de formation. Accompagnement psychosocial.,Emploi / Bien Etre Alimentaire,info@lescalier.ca,514 529-5974,www.lescalier.ca,Grand Montréal
déclic - initiatives pour la formation et l'emploi des jeunes,Services socio-psycho-pédagogiques pour jeunes adultes en difficultés qui souhaitent effectuer un retour à l'école et avoir accès à un diplôme qualifiant. Programme de préscolarisation: stabi,Éducation et formation / Soutien aux personnes vulnérables,info@declic.ca,514 277-5559,www.declic.ca,Grand Montréal
dépendants affectifs et sexuels anonymes,"Groupes d'entraide hebdomadaires de 12 étapes et 12 traditions sur la dépendance affective et sexuelle, selon le modèle établi par Alcooliques Anonymes. Liste des réunions en ligne: dasa-slaa-mtl.cbti...",Soutien aux personnes vulnérables / Santé,mtldasaslaa@gmail.com,,dasa-slaa-mtl.cbti.net/home.html,Grand Montréal
dîners saint-louis,"Repas communautaires et goûters quotidiens. Douche, lessive, accès Internet et téléphonique. Café 1818 Gilford: centre de jour, activités, références, écoute et accompagnement dans les démarches de ré...",Bien Etre Alimentaire / Soutien aux personnes vulnérables,info@diners-st-louis.org,514 521-8619 poste 101,diners-st-louis.org/wp,Grand Montréal
entendre québec,Cours de lecture labiale. Sessions d'information. Ateliers informatifs pour enfants et adultes. Référence.,Santé,info@hearhear.org,514 488-5552 poste 54500,hearhear.org/?lang=fr,Grand Montréal
entraide bénévole kouzin kouzin',Soutien aux enfants et à leurs familles. Jumelage entre enfants de 5 à 16 ans et jeunes adultes étudiants bénévoles. Programme de prévention de la négligence et de développement de compétences parenta...,Développement enfants et familles / Soutien aux personnes vulnérables,entraide.kouzinkouzin@gmail.com,514 376-1845,kouzinkouzin.org,Grand Montréal
entraide saint-michel,"Activités de réinsertion sociale et socioprofessionnelle. Accueil et intégration. Programme PAAS Action. Soutien, entraide et croissance personnelle. Activités récréatives, éducatives et pratiques. Su...",Santé / Emploi,info@entraidesaintmichel.org,514 593-7344,entraidesaintmichel.org,Grand Montréal
entre mamans et papas,"Soutien aux femmes enceintes et aux familles (pères et/ou mères) avec enfants de 0 à 5 ans. Ateliers, conférences et café rencontre entre parents sur diverses thématiques : développement des compétenc...",Développement enfants et familles,info@entremamans.qc.ca,514 525-8884,entremamans.qc.ca,Grand Montréal
envol des femmes (l'),Information et référence. Ateliers sur les compétences parentales. Ateliers sur l'estime de soi et le développement personnel. Plus Fort Ensemble: groupe de soutien contre la violence conjugale. Group...,Développement enfants et familles / Soutien aux personnes vulnérables,info@womenontherise.ca,514 485-7814,fr.womenontherise.ca,Grand Montréal
escale pour elle (montréal) (l'),"Maison d'hébergement. Écoute téléphonique, information et référence. Intervention en violence conjugale. Défense de droits. Accompagnement dans les démarches. Intervention auprès des enfants, aide dan...",Soutien aux personnes vulnérables / Défense des droits,escalem@videotron.ca,514 493-4004,www.lescalepourelle.ca,Grand Montréal
espace la traversée,"Hébergement, réadaptation, intégration sociale. Résidences de groupe et appartements supervisés. Gestion du quotidien. Accompagnement. Travail en collaboration avec les partenaires et les proches. Hab...",Santé / Soutien aux personnes vulnérables,inforh@espacelt.org,514 321-4984,espacelt.org,Grand Montréal
famille nouvelle,"Centre de relation d'aide. Psychothérapie, thérapie et soutien psychosocial pour personnes, couples et familles. Rencontres pour les personnes proches aidantes. Ateliers, conférences et groupes de thé...",Santé / Soutien aux personnes vulnérables,info@famillenouvelle.org,514 525-0063,famillenouvelle.org,Grand Montréal
fondation des jeunes de la dpj,"Financement de causes diverses en prévention et soutien aux familles, persévérance scolaire, estime de soi et saines habitudes de vie, transition vers la vie autonome et réinsertion sociale, etc. Coll...",Développement enfants et familles / Soutien aux personnes vulnérables,info@fjdpj.ca,514 593-2676,www.fondationjeunesdpj.ca,Grand Montréal
fondation du collège regina assumpta,Enfants en tête: activités physiques et récréatives pour les enfants vivant avec un handicap. Aide financière pour les frais scolaires. Bourse Jocelyne et Pierre Royer couvrant l'entièreté des frais d...,Santé / Développement enfants et familles,fondation@reginaassumpta.qc.ca,514 382-4121 poste 338,fondation.reginaassumpta.qc.ca,Grand Montréal
fondation du syndrome angelman (la),Répit de 48 heures ou de fin de semaine.,Santé / Soutien aux personnes vulnérables,info@angelman.ca,514 316-9017 poste 102,angelman.ca/fr,Grand Montréal
fondation espace espoir,Organisme visant à améliorer la vie des jeunes vivant avec une maladie chronique ou un handicap. Rénovation de chambres à coucher afin de les transformer en un lieu inspirant.,Santé / Développement enfants et familles,info@espaceespoir.org,514 739-1088,www.espaceespoir.org,Grand Montréal
fondation virage pour le soutien au cancer,"Écoute, soutien. Information, documentation et ressources. Groupes de soutien. Prothèses capillaires, bonnets, foulards, chapeaux. Prothèses mammaires temporaires, vêtements compressifs pour reconstru...",Santé / Soutien aux personnes vulnérables,fondationvirage@gmail.com,514 890-8000 poste 28139,www.viragecancer.org,Grand Montréal
forum des musulmans canadiens fmc-cmf,Promotion et protection des droits civils de la communauté musulmane et de la société québécoise et canadienne. Représentation des intérêts communs et collectifs de la communauté musulmane. Sensibilis...,Défense des droits / Autres missions sociales,info@fmc-cmf.com,1 855 362-2637,www.fmc-cmf.ca/fr,Grand Montréal
fusion jeunesse,"Lutte contre le décrochage scolaire par la création de liens entre le système scolaire et la communauté. Implantation de projets pédagogiques, pratiques et innovants destinés aux jeunes du primaire et...",Éducation et formation / Développement enfants et familles,info@fusionjeunesse.org,514 657-7630,fusionjeunesse.org,Grand Montréal
grands frères grandes soeurs du grand montréal,Jumelage avec un mentor adulte pour enfants ayant besoin d'une présence significative afin de révéler leur plein potentiel et les outiller pour l'avenir. Mentorat dans la communauté: soutien émotionne...,Développement enfants et familles / Soutien aux personnes vulnérables,montreal@grandsfreresgrandessoeurs.ca,514 842-9715,gfgsmtl.qc.ca,Grand Montréal
grossesse-secours,"Ligne d'écoute et clavardage confidentiels et pro-choix pour toute personne concernée par une grossesse, planifiée ou non: écoute, information et références. Tests de grossesse gratuits. Rencontres in...",Santé / Soutien aux personnes vulnérables,info@grossesse-secours.org,1 877 271-0555,www.grossesse-secours.org,Grand Montréal
groupe amorce,"Évaluation et intervention auprès des hommes ayant des comportements ou des fantasmes sexuels sur les enfants ou les adolescent·e·s. Groupes de soutien hebdomadaire ouverts, dirigés par des profession...",Soutien aux personnes vulnérables / Santé,info@groupeamorce.com,514 355-8064,groupeamorce.com,Grand Montréal
groupe communautaire l'itinéraire,"Accompagnement des personnes marginalisées. Publication du journal L'Itinéraire. Café Maison ronde: intégration au marché du travail pour personnes autochtones, cartes-repas et repas pour personnes sa...",Soutien aux personnes vulnérables / Emploi,direction@itineraire.ca,514 597-0238,www.itineraire.ca,Grand Montréal
groupe d'aide et d'information sur le harcèlement sexuel au travail,"Traitement des dossiers: aide technique et morale, écoute, intervention, suivi à court et long terme. Sessions d'information et de sensibilisation. Formation pour les personnes-ressour",Défense des droits / Soutien aux personnes vulnérables,info@gaihst.qc.ca,514 526-0789,gaihst.qc.ca,Grand Montréal
groupe d'entraide maternelle de la petite patrie,Groupe de soutien hebdomadaire. Halte-garderie lors des rencontres et le vendredi matin. Visites de relevailles à domicile. Programmation d'activités durant la semaine pour les parents et leurs enfant...,Développement enfants et familles,info@gem-pp.org,514 495-3494,groupedentraidematernelle.org,Grand Montréal
groupe de recherche et d'intervention psychosociale - montréal,"Soutien et services de proximité visant la prévention et la réduction des méfaits dans les milieux festifs ou autres, tant populaires qu'underground. Intervention préventive au sujet des dro",Santé / Soutien aux personnes vulnérables,info@grip-prevention.ca,514 726-4106,grip-prevention.ca,Grand Montréal
groupe information travail,Accompagnement de personnes en situation d'exclusion sociale et professionnelle. Formations. Expériences de travail adaptées et rémunérées.,Emploi / Soutien aux personnes vulnérables,git@groupeinfotravail.ca,514 526-1651,www.groupeinfotravail.ca,Grand Montréal
groupe part (programme d'apprentissage retour au travail),Réinsertion en emploi. PART du Chef: entreprise d'insertion socioprofessionnelle offrant à ses travailleur·euse·s en formation la possibilité d'expérimenter différents emplois reliés à la cuisine,Emploi / Santé,mthomas@groupepart.ca,514 526-7278,www.groupepart.ca,Grand Montréal
groupe plein emploi,"Réintégration du marché du travail et retour aux études. Accompagnement en recherche d'emploi: rencontres individuelles, évaluation, rédaction de CV et de lettres de présentation, simulation d'entrevu...",Emploi / Soutien aux personnes vulnérables,sylvia@pleinemploi.ca,514 274-5522,plein-emploi.ca,Grand Montréal
groupes familiaux al-anon et alateen (les) - montréal,Aide aux personnes et aux familles affectées par la consommation d'un proche. Programme basé sur les 12 étapes. Liste des réunions en présentiel ou en virtuel sur le site Internet: al-anon-montreal.o,Soutien aux personnes vulnérables / Santé,information@al-anon-montreal.org,514 866-9803,al-anon-montreal.org,Grand Montréal
habitations le soleil d'aoura,Logements subventionnés pour femmes immigrantes seules ou monoparentales.,Logement / Soutien aux personnes vulnérables,communication@cfiq.ca,514 279-4246,www.cfiq.ca,Grand Montréal
halte la ressource,Activités et accompagnement pour les mères monoparentales et leurs enfants. Écoute et référence. Espace accueillant pour passer du temps durant la journée. Groupe de soutien et de discussion. Activité...,Développement enfants et familles / Soutien aux personnes vulnérables,info@haltelaressource.org,514 524-0073,haltelaressource.org,Grand Montréal
harmonie conjugale,"Thérapie pour les hommes ou les couples aux prises avec la violence conjugale ou familiale. Thérapie invidividuelle, de couple ou en groupe. Possibilité de psychothérapie. Information juridique gratui...",Soutien aux personnes vulnérables / Santé,info@pro-gam.ca,514 270-8462,www.pro-gam.ca,Grand Montréal
helem montréal,"Regroupement et défense des droits des personnes lesbiennes, gaies, bisexuelles, non-binaires et trans de la communauté arabophone de la région de l'Afrique du Nord et du Moyen Orient. Rencontres mens...",Défense des droits / Autres missions sociales,info@montrealhelem.org,,,Grand Montréal
hirondelle (l') - soutien et aide à la famille et rapprochement interculturel,Groupe d'entraide pour pères. Suivi individuel. Jumelage. Ateliers de formation. Activités familiales.,Développement enfants et familles / Autres missions sociales,administration@hirondelle.qc.ca,514 281-2038,hirondelle.qc.ca,Grand Montréal
hébergement l'entre-deux,"Démarche thérapeutique en hébergement. Hébergement d'une durée de 15 semaines. Intervention individuelle et de groupe. Ateliers de régulation des émotions, conscience corporelle, yoga et zentangle. Su...",Santé / Soutien aux personnes vulnérables,direction@entredeux.org,450 651-0715,entredeux.org,Grand Montréal
"imagerie, local des jeunes","Espace à fréquentation libre avec matériels artistiques, informatique, jeux de société, jeux vidéos, cuisine et autres. Aide aux devoirs. Activités préventives et services sociaux. Activités sociales,...",Développement enfants et familles / Soutien aux personnes vulnérables,mdj.imagerie@gmail.com,514 598-8651,www.mdj-imagerie.com,Grand Montréal
info-femmes,"Centre pour femmes. Accueil, information, écoute et référence en personne ou par téléphone. Appels solidaires bimensuels: information, écoute et référence sur une base régulière. Info-Violence: atelie...",Soutien aux personnes vulnérables / Défense des droits,centreif@hotmail.com,514 355-4529,www.infofemmes.net,Grand Montréal
inform'elle,"Ligne d'information juridique en droit familial, référence. Médiation familiale pour couples mariés ou unis de fait en cas de rupture. Base de données juridique en ligne sur le droit de la famille. Ca...",Défense des droits / Soutien aux personnes vulnérables,droitpourelle@informelle.org,1 877 443-8221,informelle.org,Grand Montréal
"inici (immigrer, intégrer, innover)","Écoute active et soutien dans toutes les démarches d'installation et d'intégration socioprofessionnelle. Soutien et orientation dans les démarches administratives, obtention des documents, aide pour r...",Autres missions sociales / Emploi,info@inici.ca,514 255-3900,www.inici.ca,Grand Montréal
institut raymond-dewar - services psychosociaux pour la clientèle sourde gestuelle,"Services psychosociaux de première ligne pour la clientèle sourde gestuelle. Accueil, évaluation et orientation. Intervention de crise. Aide à la communication. Intervent",Santé / Soutien aux personnes vulnérables,1e_laval@raymond-dewar.gouv.qc.ca,450 668-1803 poste 4591,www.lavalensante.com/soins-et-services/liste-des-soins-et-services/deficience-intellectuelle-di-trouble-du-spectre-de-lautisme-tsa-deficience-physique-dp/services-specifiques-adultes-di-tsa-dp-1re-ligne/services-psychosociaux-1re-ligne-pour-la-clientele-sourde-gestuelle,Grand Montréal
interloge,Logements abordables. Développement de projets de logements locatifs abordables. Contribution à la revitalisation socioéconomique des quartiers. Location de logements abordables.,Logement / Développement communautaire,info@interloge.org,514 522-2107,interloge.org,Grand Montréal
intégration jeunesse du québec,Aide à l'emploi et au placement. Stages rémunérés. Services spécifiques pour personnes nouvellement arrivées. Programmes de formation professionnelle par alternance études-travail. Formation pour deve...,Emploi / Autres missions sociales,info@ijq.qc.ca,514 598-7319,www.ijq.qc.ca,Grand Montréal
ivirtivik,"Programme d'aide à l'emploi d'une durée de six mois à 30 heures par semaine. Ateliers de recherche d'emploi, rédaction de CV, préparation à l'entrevue. Ateliers de communication et culture générale. A...",Emploi / Autres missions sociales,csescu@ivirtivik.org,514 564-3051,ivirtivik.org/fr,Grand Montréal
jaide,"Programme Justice, Access, Inclusion, Diversity and Equity (JAIDE). Accompagnement et informations juridiques. Service d'avocat·e·s de garde pour représentation devant les Tribunaux en matière de droi...",Défense des droits / Santé,avocats.jaide@gmail.com,438 371-8090,www.juristesadomicile.com,Grand Montréal
jeunesse au soleil,Alimentation Dépannage alimentaire: aide ponctuelle avec possibilité de livraison à domicile. Supplément alimentaire: dépannage alimentaire mensuel avec possibilité de livraison à domicile. Paniers de...,Bien Etre Alimentaire / Soutien aux personnes vulnérables,info@jas-sy.org,514 842-6822,sunyouth.org/fr,Grand Montréal
jumeleurs / espace communautaire (les),"Repas congelés. Recrutement et accompagnement des bénévoles. Maison des jeunes neurodivergent·e·s. Activités, projets spéciaux, formations, soutien communautaire, démystification, etc. Jumelage sociop...",Santé / Développement communautaire,info@jumeleurs.ca,514 374-9050,www.jumeleurs.ca,Grand Montréal
juripop,"Services juridiques à faibles coûts. Avocat·e·s abordables: représentation devant les tribunaux, accompagnement en négociation et médiation, rédaction et révision de documents et conseils juridiques. ...",Défense des droits,info@juripop.org,514 705-1637,juripop.org,Grand Montréal
juristes à domicile,"Services de juristes sur place ou à domicile et référencement à des avocat-e-s pour services juridiques à prix modique. Accompagnement, information et orientation juridique personnalisée. Services de ...",Défense des droits / Soutien aux personnes vulnérables,info@juristesadomicile.com,514 944-9929,www.juristesadomicile.com,Grand Montréal
kontak,"Programme de soutien et d'accompagnement pour les hommes gay, bi et queer qui ont des relations sexuelles avec d'autres hommes, avec des drogues liées avec le chemsex et qui utilisent la stratégie de ...",Santé / Soutien aux personnes vulnérables,pnpoutreach@accmontreal.org,438 867-2436,kontak.ca/fr,Grand Montréal
logis phare,Logements supervisés: séjour de 2 à 3 ans. Cuisines collectives. Soupers de groupe. Camp de vacances. Halte-répit et halte-garderie. Alternative possible au placement en famille d'accueil. Jardin comm...,Soutien aux personnes vulnérables / Développement enfants et familles,info@logisphare.ca,514 523-3135,www.logisphare.ca/?lang=fr,Grand Montréal
logis rose virginie,"Logement de transition subventionné, avec suivi et accompagnement allant jusqu'à 3 ans. Évaluation, orientation et références. Plan d'intervention, encadrement et suivi psychosocial adapté. Approche b...",Soutien aux personnes vulnérables / Logement,info@logisrosevirginie.org,514 374-5818 poste 105,logisrosevirginie.org,Grand Montréal
lumi-vie,"Information et référence. Accompagnement et soutien des personnes endeuillées et des personnes en fin de vie. Rencontres individuelles pour enfants, adolescent·e·s et adultes endeuillé·e·s. Accompagne...",Santé / Soutien aux personnes vulnérables,info@lumivie.com,450 687-8311,lumivie.com,Grand Montréal
maison buissonnière (la),Soutien aux jeunes enfants et à leur famille. Éducation sociale des enfants par le jeu et la parole. Écoute et soutien aux parents. Préparation pour l'entrée au CPE et à la maternelle.,Développement enfants et familles,info@maisonbuissonniere.org,438 388-0168,maisonbuissonniere.org,Grand Montréal
maison caci,"Logements sociaux. Phase II située au 10350, place de l'Acadie. Accompagnement des locataires: conseils lors des procédures administratives, séances d'information, cours de français, événements et act...",Logement / Soutien aux personnes vulnérables,info@caci-bc.org,514 439-6013,caci-bc.org,Grand Montréal
maison cross roads,Centre résidentiel communautaire. Sous contrat avec le Service correctionnel du Canada: durée moyenne de séjour de 4 à 6 mois.,Soutien aux personnes vulnérables / Défense des droits,info@maisoncrossroads.qc.ca,514 932-7188,maisoncrossroads.qc.ca/fr,Grand Montréal
maison d'accueil la dauphinelle,"Maison d'hébergement pour femmes victimes de violence conjugale ou intrafamiliale, avec ou sans enfants. Information, écoute, références. Hébergement d'urgence. Hébergement temporaire. Séjour de 8 sem...",Soutien aux personnes vulnérables / Logement,intervention@ladauphinelle.org,514 598-7779,ladauphinelle.org,Grand Montréal
maison d'accueil la dauphinelle - hébergement temporaire,Hébergement de 2e étape pour femmes avec enfants sortant d'une maison d'hébergement de 1re étape et qui sont victimes de violence conjugale post-séparation.,Soutien aux personnes vulnérables / Logement,appartement@ladauphinelle.org,514 598-7779,ladauphinelle.org,Grand Montréal
maison d'haïti,"Nouveaux arrivants Aide et accompagnement à l'établissement des nouveaux arrivants, séances d'informations, soutien dans les démarches d'immigration. Aide à la recherche de logement.Emploi et éducatio...",Autres missions sociales / Logement,mhaiti@mhaiti.org,514 326-3022,www.mhaiti.org,Grand Montréal
maison d'hébergement anjou,"Maison pour femmes victimes de violence conjugale. Hébergement. Soutien et information, écoute active et relation d'aide. Ressources pour les professionnels du milieu. Sensibilisation et éducation à l...",Soutien aux personnes vulnérables / Défense des droits,direction@mhanjou.ca,514 543-6007,mhanjou.ca,Grand Montréal
maison d'hérelle,"Hébergement communautaire à court, moyen et long terme. Maison de chambres avec un programme de répit à court terme, de transition à court et moyen terme et un programme de soins palliatifs à moyen et...",Santé / Soutien aux personnes vulnérables,info@maisondherelle.org,514 844-4874 poste 102,maisondherelle.org,Grand Montréal
maison de l'autisme,Soutien aux parents Ateliers. Groupe de support pour parents ayant des enfants autistes.Soutien aux adultes et adolescent·e·s autistes Consultations privées et interventions d'autonomie. Groupe de sup...,Santé / Soutien aux personnes vulnérables,patrick@lamaisondelautimse.ca,514 231-7093,lamaisondelautisme.ca,Grand Montréal
maison de la famille pierre bienvenu noailles,Répit et dépannage pour parents d'enfants de 0 à 18 mois. Halte-garderie pour enfants de 0 à 5 ans. Droits d'accès supervisés et échange de garde. Atelier de préparation à l'école pour enfants de 3 à ...,Développement enfants et familles,info@maifapbn.ca,514 337-1522,www.maifapbn.ca,Grand Montréal
maison des femmes sourdes de montréal (la),"Aide aux femmes sourdes ou malentendantes vivant des difficultés. Accueil, intervention, communication et vie associative. Rencontres individuelles. Aide, information et références. Accompagnement et ...",Soutien aux personnes vulnérables / Santé,femmessourdes@mfsm.ca,514 255-5680,mfsm.info,Grand Montréal
maison des hommes sourds,"Information, accompagnement et références. Activités sociales et récréatives. Groupes de soutien et d'entraide. Atelier préventif et éducatif pour les pères et leurs enfants. Ateliers de prévention, é...",Soutien aux personnes vulnérables / Santé,info@mhsourds.org,438 476-1401,www.mhsourds.org,Grand Montréal
maison des petits tournesols (la),"Soutien et accompagnement pour les enfants et adolescent·e·s en deuil ainsi que leur famille. Information, écoute et références. Rencontres individuelles et de groupe. Soutien téléphonique. Activités ...",Santé / Développement enfants et familles,administration@lamaisondespetitstournesols.org,450 332-4862,www.lamaisondespetitstournesols.com,Grand Montréal
maison du père (la),Hébergement pour la réinsertion sociale. Résidence J.-A. De Sève pour personnes aînées de la rue. Maintien en logement avec accompagnement social. Banque d'aide aux loyers: création d'ententes avec le...,Soutien aux personnes vulnérables / Logement,info@maisondupere.org,514 845-0168,www.maisondupere.org,Grand Montréal
maison du père (la) - hébergement d'urgence et de référencement,"Accueil à court terme pour une nuit. Repas, douche et vestiaire. Intervention psychosociale sur place pour les hommes désirant entreprendre une démarche de réinsertion sociale.",Soutien aux personnes vulnérables / Logement,info-cahr@maisondupere.org,514 845-0168 poste 305,www.maisondupere.org,Grand Montréal
maison grise de montréal (la),Maison d'hébergement de 1ière étape et 2e étape et services externes. Maison d'hébergement de 1ière étape pour femmes vivant une problématique sociale: durée de 6 à 24 mois. Maison d'hébergement de 2e...,Soutien aux personnes vulnérables / Logement,info@lamaisongrise.org,514 722-0009,lamaisongrise.org,Grand Montréal
maison lapierre,"Hébergement pour personnes demandeuses d'asiles. Durée allant jusqu'à 6 mois. Chambres meublées avec commodités. Salles de bain, cuisines et espaces communs. Accompagnement dans les démarches d'intégr...",Soutien aux personnes vulnérables / Logement,info@migrantmontreal.org,514 387-4477,migrantmontreal.org,Grand Montréal
maison le prélude (la) - 2e étape,Appartements de 2e étape.,Soutien aux personnes vulnérables / Logement,info@maisonleprelude.com,,www.maisonleprelude.com,Grand Montréal
maison multiethnique myosotis - montréal,"Aide psychologique en présentiel, par téléphone ou à domicile. Art-thérapie. Ateliers de groupe. Soutien et suivi avec un·e travailleur·euse social·e. Psychothérapie à court et moyen terme. Informatio...",Santé / Soutien aux personnes vulnérables,administration@maisonmyosotis.org,514 271-4407,maisonmyosotis.org,Grand Montréal
maison oxygène montréal,Hébergement temporaire (3 mois). Soutien psychosocial et communautaire. Écoute et références. Ateliers pour les pères. Activités pères-enfants. Maison Claude-Hardy: hébergement temporaire. Second souf...,Soutien aux personnes vulnérables / Développement enfants et familles,oxygene@maisonoxygene.com,514 655-6625,carrefourfamilial.com/maison-oxygene-montreal,Grand Montréal
