nom,Description,secteur_activite,email,Téléphone,Site web,source_sheet
fondation québécoise du cancer - service de jumelage téléphonique,Jumelage entre une personne atteinte d'un cancer ou un proche et une personne ayant vécu la même épreuve. Information et soutien.,Santé / Soutien aux personnes vulnérables,infocancer@fqc.qc.ca,1 800 363-0063,cancerquebec.ca/services/info-cancer/jumelage-telephonique,Provincial
fondation québécoise pour les jeunes contrevenants,Soutien à la réinsertion sociale. Bourses d'études. Stages en entreprise. Soutien à la vie de groupe. Intervention auprès de jeunes toxicomanes.,Soutien aux personnes vulnérables / Emploi,infos@fqjc.org,514 648-5858,www.fqjc.org/fr,Provincial
fondation ressources pour les enfants diabétiques,Lieu de rencontre et de soutien. Rencontres d'échanges entre parents et jeunes. Information sur la gestion du diabète de type 1. Soupers-rencontres et cafés-rencontres virtuels. Camp de vacances estiv...,Santé / Développement enfants et familles,info@diabete-enfants.ca,514 731-9683,diabetes-children.ca/fr,Provincial
"fondation se reconstruire, centre de santé du sein","Soutien pour personnes atteintes du cancer du sein, à tous les stades de la maladie, à travers le traitement de la douleur physique et sa dimension psychologique.Services et soins Tatouage: mamelon et...",Santé / Soutien aux personnes vulnérables,info@centresereconstruire.ca,438 527-7346,www.centresereconstruire.ca,Provincial
fondation w,Contribuer à l'égalité des chances et permettre aux populations vulnérables un réel accès à la réussite éducative. Accompagner les écoles primaires et les CÉGEP dans l'implantation du programme l'Écol...,Éducation et formation / Développement enfants et familles,info@fondationw.com,514 829-3135,www.fondationw.com,Provincial
fonds des millepattes,"Soutien pour enfants vivant avec une maladie rare et leur famille. Écoute. Groupes de soutien. Aide financière: médicaments, équipements médicaux, déplacements vers les hôpitaux, consultation avec des...",Santé / Développement enfants et familles,mireille@olecommunication.com,819 574-1536,fondsdesmillepattes.com,Provincial
foyer pour femmes autochtones de montréal,Hébergement jusqu'à 3 mois. Repas. Vêtements. Soutien juridique. Accompagnement et référence. Consultation individuelle. Ateliers et activités de groupe. Cérémonies et ateliers culturellement pertinen...,Soutien aux personnes vulnérables / Développement enfants et familles,nakuset@nwsm.info,1 866 403-4688,ffamfr.squarespace.com,Provincial
fraternité saint-alphonse,"Hébergement à moyen ou long terme visant la réinsertion sociale: rencontre individuelle, cheminement spirituel, entraide, soutien et références. Centre de jour. Travaux compensatoires. Dons de vêtemen...",Soutien aux personnes vulnérables / Logement,andre3812frat@videotron.ca,418 821-0806,www.fraternitesaintalphonse.com,Provincial
front commun des personnes assistées sociales du québec,Défense des droits des personnes assistées sociales. Regroupements. Référence vers les organismes régionaux.,Défense des droits,admin@fcpasq.qc.ca,514 987-1989,fcpasq.qc.ca,Provincial
front d'action populaire en réaménagement urbain,"Regroupement d'organismes qui intervient auprès de ses propres membres, et surtout auprès des gouvernements, pour faite la promotion du droit au logement et plus particulièrement, du logement social. ...",Défense des droits / Logement,frapru@frapru.qc.ca,514 522-1010,www.frapru.qc.ca,Provincial
front de défense des non-syndiqué·e·s,"Coalition rassemblant des organisations communautaires et syndicales avec comme mission la défense des droits des travailleur·euse·s non syndiqué·e·s. Défense dans les domaines des normes du travail, ...",Défense des droits / Emploi,fdns.qc@outlook.com,,,Provincial
g.e.m.e. groupe d'entraide pour un mieux-être - la prairie,Groupes de soutien en personne et virtuels (sur Zoom). Consultations individuelles en personne et virtuels (sur Zoom). Groupes de méditation. Documentation et outils pour gérer les troubles anx,Santé / Soutien aux personnes vulnérables,info@groupegeme.com,1 866 443-4363,www.groupegeme.com,Provincial
g.e.m.e. groupe d'entraide pour un mieux-être - saint-bruno,Groupes de soutien en personne et virtuels (sur Zoom). Consultations individuelles en personne et virtuels (sur Zoom). Groupes de méditation. Documentation et outils pour gérer les troubles an,Santé / Soutien aux personnes vulnérables,lucie.bergeron@groupegeme.com,1 866 443-4363,www.groupegeme.com,Provincial
gamblers anonymes,Groupes d'entraide auprès des joueurs compulsifs. Ligne téléphonique d'information sur les rencontres. Liste des réunions sur le site web.,Soutien aux personnes vulnérables,info@gaquebec.org,514 484-6666,gaquebec.org,Provincial
génération elles,"Programme d'éducation, de mentorat et de réseautage auprès des filles et adolescentes favorisant le renforcement des compétences personnelles, émotionnelles et sociales. Ateliers visant la prévention ...",Développement enfants et familles / Éducation et formation,info@generationelles.ca,514 898-9805,generationelles.ca,Provincial
habitat métis du nord - succursale de montréal,Logements à faible coût avec possibilité d'intervention sociocommunautaire. Programmes de rénovation et d'adaptation de domicile.,Logement / Développement communautaire,montreal@waskahegen.com,514 527-5454,waskahegen.com,Provincial
habitations modulaires - côte-des-neiges-notre-dame-de-grâce,"Habitations transitoires avec accompagnement. Intervenant·e·s présents 24 heures, 7 jours. Services psychosociaux. Aide à la recherche d'un domicile permanent. Aide à la recherche d'un emploi.",Soutien aux personnes vulnérables / Logement,hma.admission@missionoldbrewery.ca,438 823-0301,montreal.ca/articles/habitations-temporaires-pour-sortir-de-litinerance-88908,Provincial
havre jeunesse,Réhabilitation et réinsertion sociale pour adolescentes. Hébergement de groupe.,Soutien aux personnes vulnérables / Développement enfants et familles,administration@thaven.ca,514 769-5050,www.teenhaven.ca/accueil,Provincial
humain avant tout,Diffusion de contenu éducatif et de témoignages sur la santé mentale. Sensibilisation du public.,Santé / Éducation et formation,contact@humainavanttout.com,,www.humainavanttout.com,Provincial
hybridé (l'),Organisme à but non lucratif par et pour les personnes adoptées à l'international au Québec. Groupe d'entraide. Retour aux origines: ateliers de groupe pour échanger sur le processus de retour aux pay...,Soutien aux personnes vulnérables / Développement communautaire,info@lhybride.com,438 389-5465,www.lhybride.com,Provincial
hépatites ressources,Service de soutien téléphonique. Information sur les hépatites et les effets secondaires des traitements. Groupes de discussion. Rencontres individuelles au bureau ou à domicile pour les personnes ne ...,Santé / Soutien aux personnes vulnérables,info@hepatitesressources.com,819 372-1588,www.hepatitesressources.com,Provincial
inca québec (institut national canadien pour les aveugles),"Information et orientation. Services en employabilité. Soutien psychosocial: groupes de soutien pour les client·e·s et les proches aidant·e·s, groupes d'entraide à distance. Formations à distan",Santé / Emploi,quebec@inca.ca,1 800 465-4622,www.inca.ca/fr?region=qc,Provincial
info-aide violence sexuelle,"Service d'écoute confidentiel par téléphone et clavardage pour victimes de violences sexuelles. Écoute, soutien, information et référence vers les ressources d'aide et de protection.",Soutien aux personnes vulnérables / Santé,info@cvasm.ca,1 888 933-9007,infoaideviolencesexuelle.ca,Provincial
info-alpha,"Service téléphonique d'écoute et de référence en alphabétisation et en formation de base dédié aux adultes éprouvant des difficultés en lecture, en écriture et en calcul de base. Écoute et références ...",Éducation et formation / Soutien aux personnes vulnérables,ssaidj@fondationalphabetisation.org,1 888 488-3888,fondationalphabetisation.org/info-alpha,Provincial
insertech angus,Entreprise d'insertion en réemploi de matériel informatique. Vente d'ordinateurs et de cellulaires reconditionnés abordables sur place et en ligne. Cours d'informatique. Récupération d'ordinateurs et ...,Emploi / Éducation et formation,insertech@insertech.ca,514 596-2842,www.insertech.ca,Provincial
institut de formation d'aide communautaire à l'enfant et à la famille,"Thérapie individuelle, conjugale et familiale. Psychodrame. Consultation parentale. Écoles: intervention auprès des élèves, programmes de perfectionnement pour les enseignant·e·s et",Santé / Développement enfants et familles,ifacef@ifacef.com,514 388-7216,,Provincial
institut des troubles d'apprentissage,"Information et soutien pour les personnes ayant des difficultés d'apprentissage et leur entourage. Formations, ateliers, conférences et colloques pour les intervenants en éducation et en santé, les en...",Santé / Éducation et formation,info@institutta.com,1 877 847-1324,www.institutta.com,Provincial
"institut national pour l'équité, l'égalité et l'inclusion des personnes en situation de handicap (inééi-psh)",Organisme visant l'élimination de toute forme de violence et de discrimination faites aux personnes en situation de handicap. Promotion de l'équ,Défense des droits / Santé,info@ineeipsh.org,514 905-1039,ineeipsh.org,Provincial
intergénérations québec,"Réseau d'actions de solidarité intergénérationnel. Promotion d'activités: Semaine québécoise intergénérationnelle, etc. Sensibilisation de la population. Outillage des acteurs et actrices du milieu po...",Développement communautaire / Éducation et formation,communication@intergenerationsquebec.org,514 382-0310 poste 209,intergenerationsquebec.org,Provincial
interligne,"Aide à la communauté LGBTQ et aux personnes s'intéressant aux questions relatives à l'orientation sexuelle et aux questions de genre. Écoute téléphonique. Aide par clavardage, messagerie texte et par ...",Soutien aux personnes vulnérables / Défense des droits,aide@interligne.co,514 866-0103,interligne.co,Provincial
intégration sociale des enfants en milieu de garde,"Soutien à l'intégration en service de garde des enfants vivant avec une déficience, une situation de handicap ou des défis particuliers. Service de soutien-conseil sur place ou en ligne pour les éduca...",Développement enfants et familles / Santé,info@isemg.quebec,450 646-2714,isemg.quebec,Provincial
juritrans - clinique de transition légale,"Clinique mobile sans rendez-vous facilitant l'accès aux procédures de changement de nom ou de la mention du sexe. Aide pour remplir une demande de changement de nom ou de sexe: information juridique, ...",Défense des droits / Soutien aux personnes vulnérables,celeste@juritrans.ca,,juritrans.ca/qc/fr,Provincial
justice pro bono,Promotion de l'accessibilité des services juridiques. Répertoire en ligne des ressources juridiques gratuites ou à faible coût: boussolejuridique.ca,Défense des droits,info@justiceprobono.ca,514 904-1076,justiceprobono.ca,Provincial
les 3 sex*,"Lutte pour les droits sexuels et la santé sexuelle des femmes et des personnes de la diversité sexuelle et de genre. Diffusion de contenu éducatif. Événements, formations et colloques. Ateliers d'éduc...",Défense des droits / Santé,info@les3sex.com,514 647-3389,les3sex.com/fr,Provincial
leucan - association pour les enfants atteints du cancer,"Aide financière et financement de la recherche clinique. Programmes d'accompagnement, de soutien psychosocial et d'écoute. La Centrale 12-17: groupe d'activités pour adolescent·e·s de 12 à 17 ans",Santé / Développement enfants et familles,info@leucan.qc.ca,514 731-3696,www.leucan.qc.ca/fr,Provincial
ligne info-aidant,"Service téléphonique d'écoute, d'information et de références professionnel, confidentiel et gratuit. Écoute et soutien psychosocial. Information. Orientation vers les services et ressources approprié...",Santé / Soutien aux personnes vulnérables,info-aidant@lappui.org,1 855 852-7784,www.lappui.org,Provincial
ligne pairs aidants famille,Soutien téléphonique pour les membres de l'entourage d'une personne vivant avec un problème de santé mentale. Service offert par des personnes proches aidantes formées.,Santé / Soutien aux personnes vulnérables,info@schizophrenie.qc.ca,1 800 349-9915,www.schizophrenie.qc.ca/fr/soutien-pair-aidant-famille,Provincial
ligue des droits et libertés,"Information, recherche et intervention pour le développement et la défense des libertés et des droits individuels et collectifs. Membre de la Fédération internationale des ligues des droits de l'homme...",Défense des droits,info@liguedesdroits.ca,514 849-7717,liguedesdroits.ca,Provincial
ligues des noirs du québec (la),"Sensibilisation sur le racisme, le décrochage scolaire et l'usage de stupéfiants dans le voisinage. Conseils juridiques sur les droits de la personne, le racisme et la discrimination. Session préparat...",Défense des droits / Éducation et formation,info.ligue@videotron.ca,514 489-3830,liguedesnoirs.org,Provincial
légion royale canadienne - direction du québec,Aide pour les ancien·ne·s combattant·te·s et les personnes à leur charge. Promotion du Souvenir. Soutien aux militaires en service. Implication au sein des communautés locales et régionales du Canada....,Soutien aux personnes vulnérables / Autres missions sociales,info@qc.legion.ca,1 877 401-7111,www.qc.legion.ca,Provincial
maison belfield,Activités de formation et de réinsertion en société des anciens détenus ou des personnes qui ont eu des dépendances.,Soutien aux personnes vulnérables / Emploi,info@maisonbelfield.org,514 735-9654 poste 201,maisonbelfield.org,Provincial
maison d'accueil le joins-toi - saint-hyacinthe,"Bureau de suivi communautaire externe. Consultation individuelle et de groupe. Aide à la réhabilitation sociale, en matière judiciaire, à la recherche d'emploi et de formation. Soutien socio-affectif....",Soutien aux personnes vulnérables / Emploi,maisonjoinstoi@videotron.ca,450 771-5026,www.maisonjoinstoi.org,Provincial
maison d'accueil le joins-toi - saint-jean-sur-richelieu,"Bureau de suivi communautaire externe. Consultation individuelle et de groupe. Aide à la réhabilitation sociale, en matière judiciaire, à la recherche d'emploi et de formation. Soutien socio-affec",Soutien aux personnes vulnérables / Emploi,rgagne@maisonjoinstoi.org,450 358-6334,www.maisonjoinstoi.org,Provincial
maison d'ariane (la),"Maison d'aide et d'hébergement pour femmes et enfants victimes de violence conjugale. Services d'hébergement. Service mère-enfant. Services externes: aide téléphonique 24 heures, 7 jours, rencontres i...",Soutien aux personnes vulnérables / Développement enfants et familles,info@maisondariane.ca,450 432-9355,maisondariane.ca,Provincial
maison de lina,"Maison d'aide et d'hébergement. Ligne téléphonique 24 heures: écoute, information et accompagnement. Sensibilisation et prévention. Groupes de soutien avec ou sans hébergement. Rencontres individuelle...",Soutien aux personnes vulnérables / Logement,info@maisondelina.org,450 962-8085,maisondelina.org,Provincial
maison des sourds,Centre communautaire. Logements sociaux. Activités sociales et récréatives. Location de salle.,Soutien aux personnes vulnérables / Logement,service@mdsourds.org,438 381-6372,,Provincial
maison du parc,"Hébergement pour personnes vivant avec le VIH-sida. Soins palliatifs. Accompagnement physique, affectif et social.",Santé / Soutien aux personnes vulnérables,info@maisonduparc.org,514 523-6467,www.maisonduparc.org,Provincial
maison du pharillon (la),Centre de réadaptation interne d'une durée de 90 jours avec repas et commodités. Programme distinct pour les dépendances aux substances. Ateliers de cheminement personnel et de connaissance de soi. Re...,Soutien aux personnes vulnérables / Santé,intervenants@pharillon.org,514 254-8560,www.pharillon.org,Provincial
maison essor,Centre résidentiel communautaire. Réinsertion sociale par l'intégration au monde du travail. Suivi clinique. Accompagnement et référence.,Soutien aux personnes vulnérables / Emploi,jdonne@viatravail.ca,514 388-4433,www.viatravail.ca/eprogramme.html,Provincial
maison jacques-cantin,"Hébergement pour personnes recevant des traitements pour le cancer à Montréal. Transport vers les centres de traitement. Repas et collations, activités récréatives, prothèses capillaires et mammaires,...",Santé / Soutien aux personnes vulnérables,maison@cancer.ca,1 888 939-3333,cancer.ca/fr,Provincial
maison jean lapointe,"Centre de traitement des dépendances. Alcool, drogues et médicaments: aide à la désintoxication sous supervision médicale, traitement intensif à l'interne de 21 jours, suivi hebdomadaire de 12 semaine...",Santé / Soutien aux personnes vulnérables,info@maisonjeanlapointe.org,514 288-2611,maisonjeanlapointe.org,Provincial
maison jeun'aide,"Centre résidentiel communautaire. Programme d'Accès communautaire: programme de réinsertion sociale via un projet en emploi, en bénévolat ou de retour aux études offert aux personnes référées par le S...",Soutien aux personnes vulnérables / Emploi,mja@maisonjeunaide.com,514 932-0699,maisonjeunaide.com,Provincial
maison l'alcôve,Centre de traitement en dépendance interne et externe à durée variable. Programme distinct pour les dépendances aux substances. Programme distinct pour la dépendance au jeu. Programme mixé pour les dé...,Soutien aux personnes vulnérables / Santé,info@maisonlalcove.com,450 773-7333,www.maisonlalcove.com,Provincial
maison la grande ourse montérégie,Maison de thérapie de 12 jours pour survivantes d'agressions et de violence à caractère sexuel. Relation d'aide. Plan de séjour et d'action. Ateliers. Rencontre individuelle. Discussions de groupe. Ré...,Soutien aux personnes vulnérables / Santé,contact@grandeoursemonteregie.org,450 402-0503,www.grandeoursemonteregie.org,Provincial
maison la passerelle - saint-simon,"Centre de réadaptation interne de 5 mois. Programme distinct pour les dépendances aux substances. Thérapie individuelle, de groupe. Thérapie individuelle pour les proches (18 ans et plus). Ateliers de...",Santé / Soutien aux personnes vulnérables,info@maisonlapasserelle.ca,450 798-2080,www.maisonlapasserelle.ca,Provincial
maison raymond roy,Hébergement à court et moyen terme (6 mois maximum). Conscientisation au processus de changement face aux dépendances. Orientation et ateliers d'intégration sociale. Planification budgétaire. Aide et ...,Soutien aux personnes vulnérables / Logement,maisonraymondroy@aubergeducoeurraymondroy.org,819 752-3320,www.maisonraymondroy.org,Provincial
maison tangente,"Logement avec repas. Séjour d'une durée maximale d'un an. Écoute, soutien et référence. Accompagnement et encadrement dans les démarches d'insertion sociale. Apprentissage de l'autonomie. Activités so...",Soutien aux personnes vulnérables / Logement,info@maisontangente.qc.ca,514 252-8771,maisontangente.qc.ca,Provincial
maison up,"Information et références. Cuisine collective. Activités sociales et récréatives: radio up podcast, jardinage, bénévolat communautaire, etc. Activités éducatives et activités de sensibilisation: santé...",Santé / Développement communautaire,info@uphouse.org,514 764-5599,www.uphouse.org/index_fr.html,Provincial
marijuana anonyme,Groupe d'entraide de 12 étapes pour personnes dépendantes à la marijuana. Liste de réunions: https://marijuana-anonymous.org/meetings/?region=canada-quebec,Soutien aux personnes vulnérables / Santé,MAlifewithhope@gmail.com,514 677-5108,mamontreal.azurewebsites.net,Provincial
meurtres et disparitions irrésolus du québec,Rassemblement de familles de personnes disparues ou assassinées.? Affichage sur des véhicules ou des babillards électroniques. Développement d'une base de données. Représentation des victimes.,Soutien aux personnes vulnérables / Défense des droits,stephane@meurtresetdisparitions.com,819 200-4628,meurtresetdisparitions.com,Provincial
microcrédit montréal,Prêts et accompagnement individualisé aux personnes ou organisations qui n'ont pas accès au crédit institutionnel pour leur projet d'entreprise ou professionnel. Financement des entrepreneur·e·s pour ...,Emploi / Développement communautaire,info@microcreditmontreal.ca,514 843-7296,microcreditmontreal.ca,Provincial
microentreprendre,Promotion et développement de l'approche du microcrédit entrepreneurial au Québec. Consolidation et soutien du réseau d'organismes de microcrédit. Accompagnement et information sur le microcommunautai...,Emploi / Développement communautaire,info@microentreprendre.ca,514 900-0961,microentreprendre.ca,Provincial
migraine québec,"Information sur les migraines et les céphalées. Soutien et groupes d'entraide virtuels. Conférences, webinaires, infolettre mensuelle, ateliers et cours. Défense des intérêts des patient·e·s. Collabor...",Santé / Défense des droits,info@migrainequebec.org,,migrainequebec.org,Provincial
mission dayforce,"Soutien financier aux familles. Aide financière pour les besoins primaires: nourriture, vêtements, articles ménagers. Aide financière pour l'achat d'appareils médicaux, l'adaptation de domiciles, les ...",Soutien aux personnes vulnérables / Développement enfants et familles,ceridiancarescan@ceridian.com,1 866 313-2827,www.dayforcecares.com/cf,Provincial
mission inclusion,"Soutien et financement des organismes communautaires oeuvrant auprès des familles en difficulté, des jeunes de la rue et des personnes aînées. Actions visant l'inclusion sociale et la sécurité aliment...",Développement communautaire / Soutien aux personnes vulnérables,bonjour@missioninclusion.ca,1 877 288-7383,missioninclusion.ca,Provincial
mitan (le) - hébergement pour femmes,Hébergement et accompagnement psychosocial. Écoute téléphonique. Consultation individuelle et relation d'aide ponctuelle. Sensibilisation et prévention en violence conjugale. Groupe externe de sensibi...,Soutien aux personnes vulnérables / Logement,adjointeadministrative@lemitan.org,450 435-3651,www.lemitan.org,Provincial
mouvement action justice,"Action contre les abus de l'autorité. Information téléphonique. Conseils, écoute active, soutien psychologique et accompagnement. Service de rédaction pour les plaintes concernant la déontologie polic...",Défense des droits / Soutien aux personnes vulnérables,info@maj-quebec.com,514 524-3776,www.maj-quebec.com,Provincial
mouvement autonome et solidaire des sans-emploi,Regroupement d'organismes de défense des droits des chômeur·euse·s.,Défense des droits / Emploi,michael@lemasse.org,514 524-2226,lemasse.org,Provincial
mouvement santé mentale québec,Campagne de promotion en santé mentale. Diffusion d'outils thématiques. Soutien aux membres régionaux. Information et référence. Ateliers et conférences.,Santé,info@mouvementsmq.ca,514 849-3291,mouvementsmq.ca,Provincial
mrc d'acton terre d'accueil,Projet visant à attirer des personnes issues de l'immigration à s'installer sur le territoire de la MRC d'Acton et à favoriser leur intégration harmonieuse. Aide à la recherche de logement. Aide dans ...,Autres missions sociales / Logement,immigrationacton@outlook.com,450 546-0311,immigrationacton.org,Provincial
narcotiques anonymes,Programme de rétablissement en 12 étapes. Groupe d'entraide hebdomadaire en personne ou par vidéoconférence. Liste de réunions en ligne: http://na-outaouais.org/reunions,Soutien aux personnes vulnérables,info@naquebec.org,1 855 544-6362,naquebec.org,Provincial
nouvelle-étape,"Maison d'hébergement de deuxième étape pour femmes vivant en contexte de violence conjugale et leurs enfants. Services pour les résidentes: suivis individuels, groupe d'entraide, service post-hébergem...",Soutien aux personnes vulnérables / Logement,info@nouvelle-etape.org,438 380-3834,nouvelle-etape.org,Provincial
oasis des enfants de rosemont (l'),"Lieu d'accueil, d'écoute et d'accompagnement pour les enfants de 0 à 12 ans et leur famille. Maison des enfants: accueil gratuit tous les jours après l'école pour les enfants de 5 à 12 ans. Activités ...",Développement enfants et familles,info@oasisdesenfants.com,514 374-9111,www.oasisdesenfants.com,Provincial
observatoire vieillissement et société (l'),Groupe de recherche pour le mieux-être des personnes aînées. Ateliers de sensibilisation: lutte contre l'âgisme et la maltraitance. Espace réflexion: rencontre mensuelle offrant un lieu de discussion ...,Santé / Éducation et formation,info@ovs-oas.org,514 340-3540 poste 3927,ovs-oas.org,Provincial
office des personnes handicapées du québec,"Accueil, référence, soutien-conseil. Accompagnement et soutien dans les démarches. Soutien à l'élaboration et à la réalisation d'un plan de services. Coordination et promotion des services répondant a...",Santé / Défense des droits,aide@ophq.gouv.qc.ca,1 800 567-1465,www.ophq.gouv.qc.ca,Provincial
